word,similarity,功能,过程,领域
市场主体,0.2479,规范,立法,经济
管理体制,0.2477,规范,立法,经济
公平竞争,0.2476,规范,守法,社会
透明度,0.2476,规范,执法,环保
公安,0.2474,秩序,司法,环保
违法犯罪,0.2473,秩序,守法,社会
封建社会,0.2472,规范,守法,社会
生态环境,0.2471,秩序,执法,环保
整治,0.2466,秩序,执法,环保
司法制度,0.2462,合法性,司法,社会
转变职能,0.2461,规范,执法,经济
法令,0.2459,合法性,立法,国际
政治,0.2456,规范,司法,政治
社会,0.2454,规范,司法,社会
法庭,0.2447,合法性,司法,社会
商业法,0.2446,规范,守法,经济
公平,0.2436,规范,执法,社会
立法者,0.2435,合法性,守法,政治
根本大法,0.2425,规范,守法,社会
治安案件,0.2418,秩序,执法,社会
君主专制,0.241,合法性,立法,政治
法学家,0.2409,合法性,司法,国际
公审,0.2405,合法性,司法,经济
行政命令,0.2402,规范,立法,经济
滥伐,0.2402,秩序,执法,环保
虚无主义,0.2395,合法性,立法,政治
专制,0.2392,合法性,立法,政治
公民权利,0.2384,合法性,立法,政治
德政,0.238,合法性,司法,经济
刑事犯罪,0.2373,秩序,执法,社会
公安机关,0.2367,秩序,执法,社会
防治,0.2367,规范,执法,环保
社会化,0.2364,规范,立法,社会
赔偿法,0.2356,规范,执法,环保
宪法,0.235,合法性,立法,政治
政府部门,0.2342,规范,执法,社会
封建制度,0.2339,合法性,立法,社会
党政不分,0.2338,规范,执法,政治
民意,0.2332,合法性,执法,政治
治虫,0.2331,规范,执法,科技
立法机关,0.2326,合法性,立法,政治
统计法,0.232,规范,执法,环保
大公无私,0.2315,合法性,守法,政治
经济纠纷,0.2314,规范,执法,经济
人民检察院,0.2312,合法性,司法,社会
防范措施,0.2311,秩序,执法,环保
杠杆作用,0.2311,规范,执法,经济
经济,0.2309,规范,立法,经济
防洪法,0.2308,规范,执法,环保
规则,0.2307,规范,立法,国际
渔政,0.2306,秩序,执法,环保
官官相护,0.2304,合法性,执法,政治
国际惯例,0.2299,规范,立法,国际
统治阶级,0.2288,规范,守法,社会
惩戒,0.2288,规范,司法,政治
毁林,0.2282,秩序,执法,环保
加强监督,0.2281,规范,执法,社会
平等性,0.2278,规范,守法,社会
采伐,0.2272,规范,执法,环保
职业道德,0.2271,规范,守法,社会
严格遵守,0.2256,规范,守法,政治
人民政府,0.2247,规范,司法,社会
计划经济,0.2242,规范,立法,经济
特大案件,0.2242,秩序,执法,社会
合法权益,0.2241,规范,守法,社会
社会主义市场经济,0.2229,规范,立法,社会
宪治,0.2222,合法性,守法,政治
犯罪行为,0.2222,秩序,司法,社会
掌权者,0.222,合法性,守法,社会
公正性,0.2219,合法性,司法,国际
群众满意,0.2219,规范,守法,社会
制止,0.2212,秩序,执法,社会
治军,0.2207,规范,守法,政治
各项政策,0.2173,规范,立法,经济
比较稳定,0.217,规范,司法,经济
思想意识,0.2161,规范,守法,社会
环境,0.2159,秩序,执法,环保
铁路法,0.2156,规范,守法,政治
天赋人权,0.2154,合法性,立法,政治
违法乱纪,0.2147,规范,执法,社会
经济繁荣,0.2146,秩序,守法,经济
企业,0.2146,规范,执法,经济
党委,0.2145,规范,执法,政治
党的领导,0.214,合法性,执法,政治
社会主义,0.2137,规范,守法,社会
判决书,0.2134,合法性,司法,社会
假冒伪劣,0.2134,规范,执法,环保
公司法,0.2133,规范,立法,经济
人大常委会,0.2131,规范,执法,经济
宗教,0.2125,秩序,司法,社会
考察干部,0.2125,规范,执法,政治
拨乱反正,0.2117,规范,立法,政治
高度民主,0.2111,规范,守法,社会
道德修养,0.2111,规范,守法,政治
检察机关,0.2111,秩序,执法,政治
党的路线,0.2107,规范,守法,政治
统治者,0.2093,合法性,立法,经济
人民法院,0.209,合法性,司法,社会
富强,0.2087,规范,守法,经济
制订,0.2079,规范,立法,环保
所有制,0.2072,规范,立法,经济
民主权利,0.2071,合法性,守法,政治
权势,0.2065,合法性,执法,社会
义务教育,0.2065,规范,立法,科技
解放思想,0.206,规范,守法,经济
司法部,0.2053,规范,司法,政治
权益,0.2047,规范,立法,社会
权利义务,0.2047,合法性,司法,社会
林权,0.2042,规范,执法,经济
基本法,0.2035,规范,立法,环保
改革,0.2022,规范,立法,经济
贯彻落实,0.2018,规范,执法,经济
税务,0.2018,规范,执法,环保
制约,0.2016,规范,执法,经济
财政,0.2007,规范,司法,经济
财务管理,0.2004,规范,执法,社会
民众,0.1988,合法性,司法,社会
公民,0.1988,合法性,守法,社会
终身制,0.1987,规范,立法,政治
党政,0.1977,规范,司法,政治
公众,0.1971,规范,司法,国际
公安干警,0.1968,秩序,执法,社会
严肃处理,0.1957,规范,执法,社会
犯罪分子,0.1956,秩序,执法,社会
政党政治,0.1955,合法性,立法,政治
承包合同,0.1954,规范,执法,经济
紧急状态,0.1948,合法性,司法,国际
深化改革,0.1948,规范,立法,经济
封建统治,0.194,合法性,立法,政治
特权,0.1939,合法性,守法,政治
财税,0.1939,规范,执法,环保
搞活经济,0.1939,规范,执法,经济
普及教育,0.1939,规范,守法,科技
公正,0.1932,秩序,执法,国际
党的政策,0.1928,规范,守法,政治
民主性,0.1921,合法性,立法,政治
党性,0.1902,规范,守法,政治
律师,0.1899,合法性,司法,政治
人事制度,0.1895,规范,执法,社会
财政预算,0.1893,合法性,立法,经济
义务,0.1892,规范,守法,社会
正义,0.1892,合法性,司法,政治
官官相卫,0.1892,合法性,守法,政治
教育法,0.1891,规范,执法,环保
体制改革,0.189,规范,立法,经济
放宽政策,0.1884,规范,执法,经济
大气污染,0.1878,规范,执法,环保
劳动,0.1865,规范,守法,社会
推进改革,0.1863,规范,立法,经济
礼治,0.1845,合法性,立法,经济
保护环境,0.1839,秩序,执法,环保
闹事,0.1839,秩序,守法,政治
环境卫生,0.1837,规范,执法,环保
微观经济,0.1835,规范,立法,经济
军民共建,0.1832,秩序,守法,政治
封建主义,0.183,合法性,守法,政治
大案要案,0.1818,秩序,执法,社会
犯罪活动,0.181,秩序,执法,社会
专制制度,0.1804,合法性,立法,政治
公开,0.179,规范,执法,政治
秩序井然,0.1788,秩序,守法,社会
劳动合同制,0.1784,规范,立法,经济
严格控制,0.1782,规范,执法,经济
资本主义,0.1769,合法性,守法,经济
工商行政,0.1754,规范,执法,环保
人民代表,0.175,合法性,司法,环保
私有制,0.1735,合法性,守法,社会
经济秩序,0.1729,秩序,执法,经济
生产,0.1728,规范,守法,经济
安全,0.1728,秩序,司法,环保
党和政府,0.1726,规范,守法,社会
当权者,0.1722,合法性,守法,社会
地主阶级,0.1719,合法性,守法,政治
民族,0.1716,规范,守法,社会
政权,0.1703,合法性,司法,政治
复兴,0.1697,秩序,立法,经济
主权在民,0.1693,合法性,立法,政治
政府,0.1682,合法性,司法,国际
一国两制,0.1665,合法性,立法,政治
民主自由,0.1657,合法性,守法,政治
税制,0.1652,规范,立法,国际
社会各界,0.165,规范,执法,社会
产业结构,0.165,规范,立法,经济
投机倒把,0.1648,秩序,执法,社会
党组织,0.1646,规范,守法,政治
社会关系,0.1645,规范,立法,社会
尊重人权,0.1633,合法性,立法,国际
人权,0.1606,合法性,司法,国际
不道德,0.1604,规范,守法,社会
防治法,0.159,规范,执法,环保
民兵,0.1585,合法性,守法,科技
政治体制改革,0.1577,规范,立法,政治
公约,0.1574,合法性,司法,环保
贪污盗窃,0.1564,秩序,执法,社会
意识形态,0.1563,秩序,司法,政治
合法性,0.1559,合法性,司法,国际
县政府,0.1544,规范,执法,科技
党内,0.1543,合法性,执法,政治
市民,0.1534,规范,守法,社会
官僚主义,0.1532,规范,执法,政治
西方,0.1527,合法性,立法,国际
买卖合同,0.1525,合法性,执法,社会
村民,0.1524,规范,守法,科技
经济体制,0.1522,规范,立法,经济
沿海经济,0.1517,规范,执法,经济
交通安全,0.1517,秩序,执法,环保
权力,0.1512,合法性,司法,社会
授权,0.1511,合法性,司法,国际
人民,0.1507,秩序,司法,社会
权利,0.15,合法性,立法,社会
社会保险,0.1491,规范,立法,社会
党政机关,0.1467,规范,执法,社会
执政者,0.1448,合法性,立法,政治
职权范围,0.1447,合法性,司法,政治
生产力,0.1441,规范,立法,经济
强国,0.1434,规范,立法,国际
制裁,0.1416,合法性,立法,国际
民办学校,0.1389,规范,守法,社会
剥削阶级,0.1383,合法性,守法,社会
居民,0.1377,规范,司法,国际
马列主义,0.1376,规范,司法,政治
,0.1373,,,
资产阶级,0.1368,合法性,立法,政治
虚伪性,0.1364,合法性,立法,政治
人民解放军,0.1352,秩序,执法,政治
党支部,0.1351,规范,守法,政治
主权,0.134,合法性,司法,国际
民意代表,0.1333,合法性,立法,政治
知识分子,0.1332,规范,守法,科技
商品流通,0.1331,规范,立法,经济
当权,0.1325,合法性,守法,政治
治理整顿,0.1319,秩序,立法,经济
限制,0.1304,规范,立法,国际
金融,0.1299,规范,司法,经济
福利制度,0.1289,规范,立法,社会
社会科学,0.1284,规范,立法,科技
中国人民解放军,0.1284,合法性,司法,政治
扒窃,0.1284,秩序,执法,社会
宏观经济,0.1263,规范,立法,经济
草案,0.1262,合法性,立法,社会
国民经济,0.1249,规范,立法,经济
公共,0.1239,规范,司法,社会
修改草案,0.1239,合法性,立法,社会
党外人士,0.1239,规范,守法,政治
政策,0.1227,规范,立法,经济
,0.1221,,,
,0.1203,,,
立法院,0.12,合法性,立法,社会
民政部,0.1199,规范,司法,社会
全国人大,0.1198,合法性,立法,环保
宗教自由,0.1191,合法性,立法,国际
命令,0.1167,合法性,司法,政治
人大代表,0.1155,规范,司法,经济
文革,0.1143,规范,司法,国际
革命,0.1135,合法性,司法,政治
中央,0.1131,规范,执法,社会
吸引外资,0.1089,规范,立法,经济
共产党,0.1066,合法性,守法,政治
无产阶级,0.1029,合法性,守法,政治
经济特区,0.1016,规范,立法,经济
金融机构,0.1008,规范,立法,经济
繁荣经济,0.1007,规范,守法,经济
气候,0.0928,秩序,执法,经济
党中央,0.0925,秩序,立法,政治
政治犯,0.0911,合法性,司法,政治
投资法,0.0711,规范,立法,国际
政治形势,0.0446,秩序,立法,政治
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
