word,similarity,功能,过程,领域
高度民主,0.3862,规范,守法,社会
审判,0.3858,合法性,司法,政治
经济合同,0.3852,规范,守法,经济
法院,0.3838,合法性,司法,政治
特权思想,0.3829,规范,守法,政治
改革开放,0.3828,规范,立法,经济
惩处,0.3827,秩序,执法,社会
规则,0.3825,规范,立法,国际
切实加强,0.3823,规范,执法,经济
行使,0.382,合法性,司法,政治
职责,0.3809,规范,执法,社会
惩戒,0.3808,规范,司法,政治
讲法,0.3805,合法性,守法,政治
保护,0.3802,规范,立法,环保
道德修养,0.3801,规范,守法,政治
根本好转,0.3796,秩序,执法,社会
乡规民约,0.379,规范,守法,社会
无法无天,0.3766,规范,守法,政治
独立行使,0.3756,合法性,司法,政治
深化改革,0.3753,规范,立法,经济
科学,0.3741,规范,执法,科技
管理体系,0.3738,规范,立法,环保
检察机关,0.3735,秩序,执法,政治
刑事犯罪,0.3732,秩序,执法,社会
村规民约,0.373,规范,守法,社会
治安,0.3728,秩序,执法,社会
刑事法律,0.3721,规范,执法,社会
司法部,0.3718,规范,司法,政治
依法行事,0.3717,规范,守法,社会
违法乱纪,0.3715,规范,执法,社会
改革,0.3711,规范,立法,经济
秩序,0.3702,秩序,执法,社会
严格管理,0.3695,规范,执法,政治
人大常委会,0.3685,规范,执法,经济
交通管理,0.3678,规范,执法,环保
生产秩序,0.3675,秩序,守法,社会
普及,0.3671,规范,守法,科技
经济,0.3669,规范,立法,经济
群众监督,0.3658,规范,执法,社会
齐抓共管,0.3657,规范,执法,社会
以身试法,0.3654,规范,守法,政治
机制,0.3627,规范,立法,社会
水法,0.3619,规范,执法,环保
运行机制,0.3614,规范,立法,经济
公司法,0.3611,规范,立法,经济
执法检查,0.3607,规范,执法,环保
犯罪行为,0.3599,秩序,司法,社会
权威,0.359,规范,执法,政治
环境,0.3584,秩序,执法,环保
科学管理,0.3579,规范,执法,科技
人民法院,0.3569,合法性,司法,社会
党纪国法,0.3565,规范,守法,政治
司法人员,0.3556,合法性,司法,政治
法律顾问,0.3554,合法性,司法,政治
程序,0.3538,规范,立法,环保
税法,0.3533,规范,执法,环保
管理机构,0.3527,规范,立法,环保
党的领导,0.3526,合法性,执法,政治
正确认识,0.3519,规范,守法,社会
紧密结合,0.3515,规范,立法,社会
腐败,0.3511,规范,执法,社会
绳之以法,0.35,秩序,守法,社会
奖罚分明,0.3498,规范,执法,经济
犯罪,0.3492,秩序,司法,社会
铁路法,0.3491,规范,守法,政治
侵害,0.3488,合法性,执法,社会
人事制度,0.3479,规范,执法,社会
体制改革,0.3474,规范,立法,经济
教育法,0.3469,规范,执法,环保
人民检察院,0.3461,合法性,司法,社会
林政,0.3446,秩序,执法,环保
基层组织,0.3444,规范,守法,政治
办案,0.3436,规范,执法,社会
商品经济,0.3431,规范,守法,经济
机关,0.3425,规范,司法,政治
假冒伪劣,0.3422,规范,执法,环保
征管,0.3418,规范,执法,环保
权威性,0.3416,合法性,执法,环保
搞活经济,0.341,规范,执法,经济
广大群众,0.3408,规范,守法,社会
党性,0.3407,规范,守法,政治
坏人,0.3404,秩序,守法,政治
群众性,0.3397,规范,执法,社会
制衡,0.3392,规范,立法,政治
树立,0.3391,规范,守法,社会
公安机关,0.3378,秩序,执法,社会
贯彻执行,0.3376,规范,执法,经济
法治社会,0.3362,规范,守法,社会
知法犯法,0.3344,秩序,执法,经济
制定,0.3343,规范,立法,社会
金融,0.334,规范,司法,经济
专制主义,0.3339,规范,立法,政治
财税,0.3338,规范,执法,环保
犯罪活动,0.3337,秩序,执法,社会
普及教育,0.3334,规范,守法,科技
缺一不可,0.3331,规范,执法,政治
预算法,0.3326,规范,立法,国际
常识,0.3324,规范,守法,社会
伦理,0.3322,规范,司法,社会
管理条例,0.3319,规范,立法,环保
私,0.3312,规范,守法,社会
整肃,0.3305,规范,执法,政治
正确处理,0.3304,规范,守法,经济
推进改革,0.3301,规范,立法,经济
整顿,0.3297,秩序,执法,政治
工商行政,0.3296,规范,执法,环保
杠杆作用,0.3293,规范,执法,经济
基层,0.3291,规范,执法,政治
行政法学,0.3283,规范,立法,科技
明确责任,0.328,规范,执法,政治
渎职,0.3278,规范,执法,经济
发扬,0.3277,规范,守法,政治
重要性,0.3271,合法性,执法,经济
打击,0.3265,秩序,执法,政治
农村基层,0.3264,规范,执法,经济
党的路线,0.3257,规范,守法,政治
及时性,0.3251,规范,执法,社会
法制报,0.3249,规范,执法,环保
全国人大,0.3248,合法性,立法,环保
交通安全,0.3239,秩序,执法,环保
条令,0.3233,规范,执法,政治
铁面无私,0.3231,规范,执法,政治
严格,0.323,规范,执法,环保
目无法纪,0.3228,规范,执法,社会
平等性,0.3227,规范,守法,社会
照章办事,0.3226,规范,执法,社会
实施,0.3221,规范,立法,经济
土地管理法,0.322,规范,执法,环保
富强,0.3219,规范,守法,经济
干警,0.3216,规范,执法,社会
党,0.3215,合法性,司法,政治
德治,0.3196,秩序,司法,社会
安定,0.3192,秩序,守法,经济
法令,0.3191,合法性,立法,国际
权利,0.3187,合法性,立法,社会
认真贯彻,0.3184,规范,执法,经济
义务教育法,0.3176,规范,执法,环保
立法者,0.3174,合法性,守法,政治
贯彻落实,0.3165,规范,执法,经济
马列主义,0.3146,规范,司法,政治
大案要案,0.314,秩序,执法,社会
严惩,0.313,秩序,执法,社会
经济秩序,0.3118,秩序,执法,经济
公安部门,0.3104,秩序,执法,社会
解放思想,0.3102,规范,守法,经济
斗争,0.3096,秩序,执法,政治
法庭,0.3088,合法性,司法,社会
卫生法,0.3064,规范,执法,环保
刑律,0.3053,规范,守法,政治
统计法,0.3045,规范,执法,环保
责任制,0.3019,规范,执法,经济
制止,0.2986,秩序,执法,社会
单行法,0.2984,规范,立法,政治
无法,0.2967,合法性,立法,社会
渔业法,0.2945,规范,执法,环保
家长制,0.2934,规范,守法,政治
护法,0.2902,合法性,守法,政治
法定,0.283,规范,立法,国际
基本法,0.2827,规范,立法,环保
法律系,0.2794,合法性,司法,政治
防治法,0.2786,规范,执法,环保
抵制,0.2746,规范,执法,政治
治理,0.2736,规范,执法,环保
税制,0.2733,规范,立法,国际
根治,0.2617,规范,执法,经济
规律,0.2607,规范,立法,社会
制订,0.2587,规范,立法,环保
自治,0.2578,合法性,司法,政治
安全法,0.2568,规范,司法,环保
母法,0.2514,规范,守法,社会
一国两制,0.2474,合法性,立法,政治
专制制度,0.2424,合法性,立法,政治
统治阶级,0.2358,规范,守法,社会
法家,0.2279,合法性,守法,政治
专治,0.2203,规范,执法,科技
所有制,0.2171,规范,立法,经济
提法,0.217,合法性,立法,经济
防治,0.2149,规范,执法,环保
防洪法,0.2111,规范,执法,环保
良法,0.2035,规范,执法,科技
福利制度,0.1947,规范,立法,社会
明治维新,0.1864,规范,立法,经济
废法,0.1832,合法性,守法,政治
自然辩证法,0.1826,规范,守法,科技
统治者,0.1793,合法性,立法,经济
无为而治,0.1774,合法性,守法,社会
错误做法,0.1767,规范,执法,经济
想法,0.1764,合法性,守法,经济
制裁,0.1674,合法性,立法,国际
制造者,0.1494,合法性,执法,国际
政治犯,0.1022,合法性,司法,政治
