word,similarity,功能,过程,领域
政法队伍,0.3269,规范,司法,社会
普及,0.3268,规范,守法,科技
基本权利,0.3259,合法性,司法,社会
防范,0.3256,规范,执法,环保
村规民约,0.3255,规范,守法,环保
道德,0.3248,规范,守法,社会
职责,0.3243,规范,执法,社会
监督,0.3242,规范,执法,社会
责任制,0.3239,规范,执法,社会
社会主义,0.3237,规范,守法,政治
纪律,0.3232,规范,守法,政治
执法人员,0.3231,规范,执法,环保
行政复议,0.3231,合法性,司法,环保
防治法,0.3231,规范,立法,环保
履行职责,0.3225,规范,司法,政治
侵害,0.3224,规范,司法,社会
行为习惯,0.3221,规范,守法,社会
机制,0.3218,规范,执法,科技
民事,0.3215,合法性,司法,社会
民商法,0.3207,规范,立法,社会
预防,0.3202,规范,司法,社会
民族团结,0.32,秩序,守法,政治
修改,0.3199,合法性,立法,社会
司法解释,0.3199,规范,立法,社会
中央政法委员会,0.3198,规范,司法,社会
荣辱观,0.3196,规范,守法,社会
违法,0.3192,规范,执法,环保
追究制,0.3191,规范,执法,社会
长治久安,0.319,秩序,司法,政治
权益,0.3189,规范,执法,社会
执法为民,0.3185,规范,司法,社会
徇私枉法,0.3184,规范,司法,社会
省人大,0.3184,合法性,立法,环保
犯罪行为,0.3182,秩序,司法,社会
市人大,0.3181,合法性,立法,环保
党纪,0.318,规范,守法,政治
贯彻执行,0.3173,规范,守法,政治
责任意识,0.3169,规范,守法,社会
公正,0.3169,秩序,司法,社会
国防教育,0.3165,合法性,守法,科技
国家行政学院,0.3161,规范,司法,经济
根本大法,0.3149,合法性,立法,政治
民主权利,0.3148,合法性,司法,政治
适用法律,0.3146,合法性,司法,社会
最高人民法院,0.3142,规范,司法,国际
人权意识,0.3142,合法性,守法,社会
公正廉洁,0.3142,规范,司法,社会
惩处,0.3141,规范,守法,社会
最高人民检察院,0.3138,规范,司法,政治
人人平等,0.3134,合法性,守法,政治
约束,0.313,规范,守法,社会
人民代表大会,0.3129,合法性,立法,政治
形同虚设,0.3128,规范,守法,环保
职能,0.3127,规范,执法,社会
正义,0.3125,合法性,司法,社会
检察,0.3125,规范,司法,社会
环境保护,0.3124,规范,立法,环保
政府职能,0.3118,规范,立法,社会
运行机制,0.3116,规范,司法,社会
深化改革,0.3109,规范,立法,经济
司法厅,0.3106,规范,司法,社会
社会治安,0.3106,秩序,司法,社会
人治,0.3106,合法性,守法,政治
违法行为,0.3101,规范,执法,环保
审判机关,0.3101,合法性,司法,社会
以言代法,0.3093,规范,守法,社会
物质文明,0.309,规范,立法,经济
依法严惩,0.3088,秩序,司法,社会
舆论监督,0.3087,规范,司法,社会
民主性,0.3082,合法性,立法,社会
监察,0.3081,规范,执法,环保
,0.3078,,,
经济体制,0.3069,规范,立法,经济
党,0.306,规范,司法,政治
职能部门,0.3059,规范,执法,社会
律师业,0.3057,规范,司法,社会
公务员法,0.3052,规范,立法,政治
全国人大,0.3047,规范,立法,经济
监督者,0.3046,规范,守法,社会
行政诉讼,0.304,合法性,司法,社会
罚治,0.304,合法性,守法,社会
合法性,0.3036,合法性,立法,政治
秩序,0.3035,秩序,执法,社会
护法,0.3034,秩序,司法,政治
国家治理,0.303,合法性,立法,社会
保障机制,0.303,规范,司法,社会
尊法,0.3026,规范,守法,社会
土政策,0.3025,规范,守法,环保
特权思想,0.3019,规范,执法,政治
公共服务,0.3015,规范,司法,社会
司法考试,0.3013,规范,司法,社会
综合治理,0.3012,规范,执法,环保
,0.3011,,,
公平性,0.3011,合法性,立法,社会
文明,0.3009,秩序,守法,社会
人民意志,0.3009,合法性,立法,政治
价值体系,0.3006,规范,守法,社会
环境,0.3005,秩序,守法,环保
权利义务,0.3003,规范,守法,社会
国家机关,0.2995,规范,司法,社会
透明度,0.2992,规范,立法,环保
群众性,0.2986,规范,守法,社会
惩防,0.2986,规范,司法,经济
社会性,0.2982,合法性,立法,社会
行使权力,0.298,规范,司法,政治
基本法,0.2978,合法性,立法,国际
按程序,0.2977,规范,立法,政治
权利,0.2969,合法性,司法,社会
法律效力,0.2958,合法性,司法,社会
现代化,0.2955,规范,守法,科技
犯法,0.2955,合法性,守法,社会
市场经济,0.2951,秩序,守法,经济
道德素质,0.2945,规范,守法,社会
严厉打击,0.2943,秩序,执法,社会
职权,0.2941,合法性,司法,社会
转轨,0.2933,规范,立法,社会
尊重人权,0.293,合法性,司法,政治
平等竞争,0.2928,规范,守法,社会
法定,0.2927,合法性,立法,社会
民主决策,0.2924,规范,立法,社会
司法腐败,0.2917,合法性,司法,社会
,0.2916,,,
保障体系,0.2916,规范,立法,经济
观念,0.2913,规范,守法,社会
长效机制,0.2911,规范,立法,环保
维权,0.2911,规范,执法,环保
越权,0.2908,规范,执法,环保
产品质量法,0.2907,合法性,立法,环保
立法者,0.2906,合法性,立法,社会
经济秩序,0.2905,秩序,司法,经济
法不责众,0.2904,规范,守法,社会
理性,0.2902,规范,守法,社会
科学,0.2901,规范,立法,科技
社会安定,0.2896,秩序,守法,社会
森林法,0.2896,合法性,立法,经济
民告官,0.2893,合法性,司法,社会
社会保障,0.2891,规范,立法,社会
民主化,0.2887,合法性,立法,政治
风险意识,0.2886,规范,守法,社会
公安,0.2874,秩序,执法,环保
富强,0.2873,规范,守法,经济
人民检察院,0.2869,合法性,司法,社会
市场机制,0.2866,规范,立法,经济
体制改革,0.2863,规范,司法,社会
物权,0.2861,合法性,司法,社会
公共利益,0.2861,合法性,司法,社会
党风廉政,0.2857,规范,执法,政治
,0.2852,,,
群众路线,0.2852,规范,司法,政治
权利保障,0.2844,规范,司法,社会
法律援助,0.2844,合法性,司法,社会
法令,0.2837,合法性,立法,政治
科学管理,0.2831,规范,守法,科技
合法权利,0.283,合法性,司法,社会
民主集中制,0.2821,规范,司法,政治
财税,0.2819,规范,司法,经济
和谐,0.2818,秩序,守法,社会
政法委,0.2812,规范,司法,社会
法官,0.2812,合法性,司法,社会
广大群众,0.2811,规范,守法,社会
严惩,0.2809,规范,执法,社会
爱国主义,0.2809,规范,守法,科技
廉洁,0.2804,规范,守法,社会
公权力,0.2796,合法性,司法,社会
制止,0.2795,秩序,执法,环保
党纪国法,0.2793,规范,守法,政治
刑诉法,0.279,合法性,司法,社会
正当权益,0.2788,秩序,守法,社会
政治,0.2782,合法性,司法,政治
程序正义,0.2782,合法性,司法,社会
办案,0.2778,规范,司法,社会
监督权,0.2771,合法性,司法,社会
义务,0.2767,秩序,执法,社会
行政效率,0.2766,规范,司法,社会
司法为民,0.2755,规范,司法,社会
治理,0.275,秩序,立法,环保
民主监督,0.2747,规范,司法,政治
信访工作,0.2742,规范,司法,社会
法庭,0.2736,合法性,司法,环保
人权,0.2721,合法性,司法,政治
反腐败,0.2713,秩序,司法,政治
刑事诉讼,0.271,合法性,司法,社会
平等,0.2707,秩序,守法,社会
信用,0.2705,规范,守法,经济
政府部门,0.2703,规范,执法,环保
统计法,0.2696,合法性,立法,环保
小康社会,0.2693,规范,司法,经济
和谐社区,0.269,规范,守法,社会
治国,0.2688,规范,司法,政治
转型期,0.2681,规范,司法,社会
廉政,0.268,规范,守法,政治
压法,0.2676,合法性,守法,社会
严格执行,0.2672,规范,守法,环保
知情权,0.267,规范,司法,社会
社会转型,0.2669,规范,立法,社会
政务,0.2666,规范,司法,经济
财产权,0.2655,合法性,司法,社会
传统美德,0.2652,规范,守法,社会
宪政,0.2647,合法性,司法,政治
依靠群众,0.2642,合法性,司法,社会
立法权,0.2641,合法性,立法,政治
渎职侵权,0.264,规范,司法,社会
惩治腐败,0.2639,秩序,司法,经济
实施办法,0.2637,规范,立法,经济
党和国家,0.2635,秩序,司法,政治
行政权,0.2633,合法性,司法,社会
人民陪审员,0.2632,合法性,司法,社会
亿万人民,0.2628,秩序,立法,社会
县政府,0.2626,规范,执法,环保
司法鉴定,0.2624,规范,司法,社会
人民调解,0.2623,规范,司法,社会
人民警察,0.2622,规范,执法,社会
参与权,0.2619,合法性,司法,社会
司法独立,0.2618,合法性,司法,社会
公职人员,0.2618,规范,守法,社会
经济社会,0.2612,规范,立法,经济
自治区,0.2608,规范,守法,科技
人民法院,0.2604,合法性,司法,社会
权力,0.2599,规范,司法,政治
公开,0.2599,规范,司法,社会
合法,0.2595,合法性,守法,社会
自治,0.2594,合法性,司法,政治
透明,0.2582,规范,司法,社会
安全,0.2582,秩序,执法,环保
计划经济,0.2581,规范,立法,经济
改革,0.2581,规范,立法,社会
弱势群体,0.258,规范,司法,社会
征收,0.2575,规范,执法,环保
金融监管,0.2573,规范,司法,经济
方针政策,0.2569,规范,守法,政治
生态,0.2568,规范,守法,环保
言论自由,0.2563,合法性,司法,社会
反腐,0.2562,合法性,司法,政治
现代文明,0.2561,秩序,守法,社会
平安,0.256,秩序,司法,社会
专业化,0.2559,规范,司法,科技
履行义务,0.2559,规范,守法,社会
国家赔偿,0.2558,合法性,司法,社会
市场主体,0.2555,规范,守法,社会
罚款,0.2555,规范,执法,环保
党规,0.2555,规范,守法,政治
政治体制,0.2553,合法性,司法,政治
群众监督,0.2551,规范,司法,社会
金融体制,0.2545,规范,司法,经济
服务大局,0.2538,规范,司法,社会
司法公开,0.2536,合法性,司法,社会
价值观念,0.2531,规范,守法,政治
德育,0.253,规范,司法,科技
制订,0.2526,规范,立法,科技
执政为民,0.252,规范,司法,社会
严打,0.2519,秩序,执法,环保
政府,0.2517,合法性,立法,社会
良法,0.2516,规范,立法,科技
刑事,0.2502,合法性,司法,社会
严格监督,0.2492,规范,守法,政治
道德水准,0.2492,规范,守法,社会
贪赃枉法,0.2478,规范,司法,社会
督查,0.2474,规范,执法,环保
网络空间,0.2461,秩序,执法,社会
推进改革,0.246,规范,立法,社会
打黑,0.2458,秩序,执法,社会
