word,similarity,功能,过程,领域
职业道德,0.3219,规范,守法,社会
职权,0.2546,合法性,司法,社会
执政为民,0.4091,规范,司法,社会
执政党,0.1661,合法性,司法,政治
执政,0.3129,合法性,司法,政治
执法者,0.4913,规范,执法,社会
执法为民,0.4298,规范,司法,社会
执法水平,0.4328,规范,执法,社会
执法人员,0.2751,规范,执法,环保
执法检查,0.1853,规范,执法,环保
执法监督,0.3927,规范,执法,环保
执法机关,0.4048,合法性,执法,社会
执法犯法,0.3222,规范,执法,社会
执法不严,0.4095,规范,执法,社会
执法必严,0.4567,规范,守法,环保
执法,0.3519,规范,执法,环保
知识产权,0.215,规范,司法,科技
知情权,0.3593,规范,司法,社会
知法,0.5181,规范,守法,社会
政治文明,0.4979,规范,司法,政治
政治体制改革,0.3511,规范,立法,政治
政治体制,0.2817,合法性,司法,政治
政治权利,0.1963,合法性,司法,社会
政治理念,0.2974,合法性,守法,政治
政制,0.2246,合法性,立法,政治
政协委员,0.1454,规范,立法,社会
政协,0.0809,合法性,立法,社会
政务,0.3455,规范,司法,经济
政权,0.1781,合法性,司法,政治
政绩,0.227,规范,守法,经济
政府职能,0.3795,规范,立法,社会
政府部门,0.2785,规范,执法,环保
政府,0.2406,合法性,立法,社会
政法委,0.3208,规范,司法,社会
政法队伍,0.3688,规范,司法,社会
政法部门,0.4028,规范,司法,社会
政法,0.3553,秩序,司法,社会
政党,0.1114,合法性,司法,政治
政策措施,0.1229,规范,立法,经济
政策,0.1718,规范,立法,经济
证券市场,0.2067,规范,司法,经济
证券法,0.2531,规范,立法,国际
证券,0.0965,规范,司法,国际
正义性,0.2866,合法性,守法,社会
正义,0.4294,合法性,司法,社会
正当权益,0.2574,秩序,守法,社会
整治,0.1823,规范,执法,环保
振国,0.1605,规范,司法,科技
长治久安,0.3612,秩序,司法,政治
责任制,0.2927,规范,执法,社会
责任意识,0.3895,规范,守法,社会
运行机制,0.3051,规范,司法,社会
越权,0.2955,规范,执法,环保
冤假错案,0.2485,合法性,司法,社会
预防为主,0.309,规范,司法,环保
舆论监督,0.3578,规范,司法,社会
有权,0.186,合法性,守法,环保
有法可依,0.4246,规范,立法,政治
有法不依,0.4021,规范,执法,社会
有法必依,0.4945,规范,守法,社会
友爱,0.4072,秩序,守法,社会
忧患意识,0.307,合法性,守法,政治
优惠政策,0.0779,规范,守法,环保
用法,0.5202,规范,守法,社会
亿万人民,0.3066,秩序,立法,社会
义务,0.2408,秩序,执法,社会
以言代法,0.3789,规范,守法,社会
以民为本,0.3724,规范,立法,社会
以德治国,0.4511,,,
以德,0.3079,规范,守法,政治
依宪治国,0.3333,合法性,守法,社会
依宪,0.2837,合法性,守法,社会
依法治理,0.5679,规范,守法,社会
依法治国,0.6571,规范,守法,政治
依法严惩,0.2624,秩序,司法,社会
依法行政,0.6481,规范,司法,社会
依法行事,0.4262,规范,守法,社会
依法打击,0.2961,秩序,执法,社会
依法惩治,0.3289,秩序,司法,社会
依法办事,0.597,规范,守法,社会
依法办案,0.4272,规范,司法,社会
依法,0.4072,规范,守法,社会
一国两制,0.2415,合法性,司法,政治
言论自由,0.3112,合法性,司法,社会
严厉打击,0.2247,秩序,执法,社会
严格遵守,0.2976,规范,守法,政治
严格执行,0.2619,规范,守法,环保
严格执法,0.5057,规范,执法,社会
严格监督,0.3005,规范,守法,政治
严打,0.2726,秩序,执法,环保
徇私枉法,0.3196,规范,司法,社会
学法,0.5212,规范,守法,社会
选民,0.1218,合法性,司法,政治
修正案,0.1862,合法性,立法,经济
修改,0.1653,合法性,立法,社会
修订,0.1577,规范,立法,经济
形式主义,0.2267,规范,执法,政治
行政长官,0.1464,合法性,司法,经济
行政效率,0.3843,规范,司法,社会
行政诉讼法,0.3969,合法性,司法,社会
行政诉讼,0.3681,合法性,司法,社会
行政权,0.3739,合法性,司法,社会
行政区域,0.1902,合法性,执法,环保
行政区,0.1553,合法性,执法,经济
行政官员,0.3256,合法性,司法,政治
行政复议,0.3035,合法性,司法,环保
行政法,0.4217,合法性,立法,社会
行政处罚,0.2652,规范,执法,环保
行政,0.3548,规范,司法,社会
行为规范,0.4055,规范,守法,社会
行使职权,0.3521,合法性,司法,政治
行使权力,0.3529,规范,司法,政治
刑讯逼供,0.3062,合法性,司法,政治
刑诉法,0.278,合法性,司法,社会
刑事诉讼法,0.3149,合法性,司法,社会
刑事诉讼,0.3086,合法性,司法,社会
刑事犯罪,0.2532,秩序,司法,社会
刑事案件,0.2052,规范,司法,社会
刑事,0.2715,合法性,司法,社会
刑法,0.2395,规范,立法,社会
刑罚,0.2647,合法性,司法,社会
信访工作,0.3268,规范,司法,社会
效率,0.2508,规范,司法,环保
小康社会,0.2976,规范,司法,经济
香港特区政府,0.08,合法性,执法,国际
香港特别行政区,0.1725,合法性,立法,国际
香港市民,0.1113,秩序,守法,国际
宪制,0.2659,合法性,立法,政治
宪政,0.3597,合法性,司法,政治
宪法,0.3572,合法性,立法,政治
限制,0.1853,规范,执法,经济
限权,0.326,合法性,执法,社会
现代文明,0.3456,秩序,守法,社会
现代化,0.2704,规范,守法,科技
现代,0.2704,规范,守法,科技
物质文明,0.369,规范,立法,经济
物权法,0.2643,合法性,立法,社会
物权,0.2817,合法性,司法,社会
污染,0.1691,规范,执法,环保
稳定,0.2266,秩序,司法,经济
文明执法,0.4766,规范,执法,社会
文明,0.4004,秩序,守法,社会
文化大革命,0.1002,秩序,司法,政治
为民服务,0.24,规范,执法,科技
为民,0.3308,规范,守法,社会
维权,0.2952,规范,执法,环保
违法犯罪,0.2328,秩序,执法,社会
违法不究,0.3432,规范,执法,社会
违法必究,0.4323,规范,守法,社会
违法,0.2494,规范,执法,环保
网络空间,0.2317,秩序,执法,社会
推进改革,0.2994,规范,立法,社会
土政策,0.3038,规范,守法,环保
透明度,0.2948,规范,立法,环保
投资者,0.1747,合法性,司法,经济
条例,0.1833,规范,立法,环保
体制改革,0.2698,规范,司法,社会
体制,0.36,规范,立法,社会
特权思想,0.3433,规范,执法,政治
特权,0.3102,合法性,守法,政治
特区政府,0.0866,合法性,守法,环保
贪赃枉法,0.2943,规范,司法,社会
贪污,0.1237,合法性,司法,社会
他律,0.4129,规范,守法,社会
所有制,0.1077,规范,守法,经济
宋鱼水,0.2748,规范,司法,社会
思想观念,0.2686,规范,守法,社会
思想道德,0.258,规范,守法,社会
司机,0.162,规范,执法,环保
司法制度,0.484,规范,司法,社会
司法为民,0.4042,规范,司法,社会
司法人员,0.3914,规范,司法,社会
司法权威,0.5004,合法性,司法,社会
司法权,0.3353,合法性,司法,政治
司法解释,0.2201,规范,立法,社会
司法机关,0.3375,规范,司法,社会
司法公正,0.4944,规范,司法,社会
司法公开,0.4297,合法性,司法,社会
司法改革,0.4426,规范,司法,社会
司法腐败,0.379,合法性,司法,社会
司法独立,0.3593,合法性,司法,社会
司法,0.4665,合法性,司法,社会
税制,0.2022,规范,立法,经济
税费,0.0864,规范,守法,经济
税法,0.2937,规范,守法,环保
水污染,0.2109,规范,立法,环保
守法,0.5101,规范,守法,社会
市场主体,0.2718,规范,守法,社会
市场秩序,0.2647,秩序,执法,社会
市场竞争,0.2051,规范,守法,经济
市场经济,0.3698,秩序,守法,经济
市场监管,0.2362,规范,执法,经济
市场机制,0.3127,规范,立法,经济
市场化,0.2279,规范,立法,科技
市场,0.2281,规范,执法,经济
世贸组织,0.116,合法性,立法,国际
世界贸易组织,0.1171,合法性,立法,国际
食品安全,0.2143,规范,执法,环保
时政,0.233,规范,司法,社会
施政,0.2685,合法性,司法,经济
生态建设,0.176,规范,立法,环保
生态环境,0.2539,秩序,守法,环保
生态,0.3007,规范,守法,环保
生存权,0.265,合法性,司法,社会
生产力,0.1686,规范,司法,科技
审判机关,0.3653,合法性,司法,社会
审判活动,0.3281,合法性,司法,社会
审判,0.292,合法性,司法,社会
深化改革,0.31,规范,立法,经济
社会转型,0.3548,规范,立法,社会
社会主义市场经济,0.3449,规范,立法,社会
社会主义法治国家,0.564,规范,司法,政治
社会主义初级阶段,0.2251,规范,立法,经济
社会主义,0.3692,规范,守法,政治
社会秩序,0.4345,秩序,守法,社会
社会治安,0.3326,秩序,司法,社会
社会制度,0.2459,秩序,司法,政治
社会舆论,0.3694,规范,司法,社会
社会公众,0.3291,规范,司法,社会
社会公德,0.3896,规范,守法,社会
社会风气,0.393,秩序,守法,社会
社会变革,0.2744,合法性,立法,社会
社会保障,0.1835,规范,立法,社会
社会安定,0.3138,秩序,守法,社会
少数民族,0.0826,规范,司法,国际
善治,0.4099,规范,司法,社会
森林资源,0.174,秩序,立法,经济
森林法,0.2197,合法性,立法,经济
三权分立,0.2796,合法性,司法,政治
弱势群体,0.2089,规范,司法,社会
入宪,0.3204,合法性,立法,社会
入世,0.1309,合法性,立法,国际
人治,0.5416,合法性,守法,政治
人人平等,0.4289,合法性,守法,政治
人权意识,0.3701,合法性,守法,社会
人权保障,0.3992,合法性,司法,社会
人权,0.2811,合法性,司法,政治
人民政府,0.1328,规范,执法,环保
人民意志,0.373,合法性,立法,政治
人民陪审员,0.2559,合法性,司法,社会
人民满意,0.2446,规范,司法,社会
人民警察,0.2454,规范,执法,社会
人民检察院,0.2362,合法性,司法,社会
人民法院,0.2543,合法性,司法,社会
人民调解,0.2443,规范,司法,社会
人民代表大会,0.2583,合法性,立法,政治
人民大会堂,0.1199,合法性,立法,科技
人民,0.291,秩序,司法,社会
人类文明,0.2414,秩序,立法,社会
人格,0.3124,规范,守法,社会
人道主义,0.1237,合法性,司法,国际
群众性,0.215,规范,守法,社会
群众监督,0.2677,规范,司法,社会
权责,0.3039,规范,执法,社会
权益,0.2554,规范,执法,社会
权限,0.2508,合法性,执法,环保
权为民,0.3741,规范,守法,社会
权威性,0.3286,合法性,司法,国际
权威,0.4059,合法性,司法,社会
权利义务,0.2948,规范,守法,社会
权利保障,0.3163,规范,司法,社会
权利,0.2927,合法性,司法,社会
权力,0.2594,规范,司法,政治
全人类,0.1646,合法性,立法,社会
全球化,0.172,秩序,立法,国际
全民,0.2488,规范,立法,社会
全国政协,0.0454,规范,立法,经济
全国人民代表大会,0.1586,合法性,立法,经济
全国人大常委会,0.1777,规范,立法,经济
全国人大,0.1419,规范,立法,经济
区政府,0.1081,规范,执法,环保
清正廉洁,0.2917,规范,守法,社会
清廉,0.33,规范,司法,政治
勤政,0.343,规范,守法,政治
侵权,0.2019,规范,执法,环保
亲民,0.2831,规范,守法,社会
强制性,0.2953,规范,立法,环保
强制,0.3182,规范,执法,环保
强国,0.2437,规范,立法,科技
契约,0.3104,规范,守法,社会
企业经营者,0.1977,规范,守法,经济
企业家,0.0875,合法性,守法,科技
普治,0.3552,规范,守法,社会
普法教育,0.4712,规范,守法,社会
普法,0.4614,合法性,守法,科技
普遍性,0.346,合法性,司法,社会
平等,0.3021,秩序,守法,社会
平安,0.3327,秩序,司法,社会
农民工,0.094,规范,执法,社会
农民负担,0.1319,规范,执法,环保
农民,0.1073,规范,守法,科技
能源,0.0761,秩序,执法,环保
民族团结,0.2322,秩序,守法,政治
民族,0.1966,秩序,守法,政治
民主选举,0.2991,合法性,司法,政治
民主性,0.3251,合法性,立法,社会
民主权利,0.345,合法性,司法,政治
民主决策,0.3666,规范,立法,社会
民主监督,0.2856,规范,司法,政治
民主集中制,0.2926,规范,司法,政治
民主化,0.3926,合法性,立法,政治
民主法制,0.5148,秩序,立法,政治
民主,0.4509,合法性,立法,政治
民众,0.1685,合法性,立法,社会
民治,0.2781,合法性,守法,政治
民政部,0.0821,规范,司法,社会
民营,0.0841,规范,守法,科技
民意,0.2907,合法性,司法,社会
民心工程,0.16,规范,立法,社会
民心,0.2708,合法性,司法,社会
民事,0.3152,合法性,司法,社会
民声,0.2712,规范,立法,社会
民生问题,0.2726,规范,立法,社会
民生,0.2845,规范,立法,社会
民商法,0.3345,规范,立法,社会
民权,0.291,合法性,司法,社会
民情,0.1957,规范,司法,社会
民警,0.1692,秩序,执法,环保
民间,0.1377,规范,立法,社会
民告官,0.4018,合法性,司法,社会
民法,0.3356,规范,立法,社会
美好生活,0.2694,秩序,司法,社会
马克思主义,0.1798,合法性,司法,政治
伦理道德,0.3812,规范,守法,社会
绿色,0.1781,规范,守法,环保
律师,0.2938,合法性,司法,社会
履行义务,0.2883,规范,守法,社会
林业,0.0976,合法性,执法,科技
林地,0.0921,规范,执法,环保
良法,0.3506,规范,立法,科技
廉政建设,0.3507,规范,司法,社会
廉政,0.2662,规范,守法,政治
廉洁,0.3699,规范,守法,社会
立法者,0.3602,合法性,立法,社会
立法权,0.2857,合法性,立法,政治
立法机关,0.3055,合法性,立法,社会
立法法,0.3804,合法性,立法,经济
立法,0.4074,规范,立法,社会
厉行,0.3209,规范,守法,政治
理政,0.3089,规范,司法,政治
理性,0.4105,规范,守法,社会
礼治,0.3288,规范,守法,政治
老龄化,0.1457,合法性,立法,经济
劳动,0.2252,秩序,守法,社会
控制,0.1341,规范,执法,环保
科学化,0.3797,规范,立法,社会
科学合理,0.2337,规范,立法,社会
科学管理,0.3401,规范,守法,科技
科技进步,0.1919,规范,立法,科技
决定权,0.2292,合法性,立法,政治
居民,0.1276,规范,执法,环保
警察,0.1839,秩序,执法,国际
精神文明,0.3188,规范,守法,社会
经济秩序,0.3269,秩序,司法,经济
经济运行,0.1676,秩序,立法,经济
经济体制,0.2771,规范,立法,经济
经济社会,0.2984,规范,立法,经济
经济基础,0.2835,合法性,司法,经济
经济犯罪,0.1897,秩序,司法,社会
金融危机,0.0961,秩序,立法,经济
金融体制,0.2228,规范,司法,经济
金融市场,0.1396,秩序,司法,经济
金融监管,0.1869,规范,司法,经济
金融机构,0.0924,规范,司法,经济
金融风险,0.2058,规范,司法,经济
金融,0.1926,规范,司法,经济
教育引导,0.3967,规范,守法,社会
健全制度,0.3622,规范,立法,社会
健全法制,0.4447,规范,守法,社会
建章立制,0.3483,规范,执法,社会
见义勇为,0.2079,规范,守法,社会
检察院,0.2138,规范,司法,环保
检察,0.2951,规范,司法,社会
监管部门,0.205,规范,执法,环保
监督制约,0.367,规范,司法,社会
监督制度,0.3432,规范,司法,社会
监督者,0.3734,规范,守法,社会
监督权,0.356,合法性,司法,社会
监督机制,0.3404,规范,执法,社会
监督管理,0.1558,规范,执法,环保
监督,0.2945,规范,执法,社会
监察,0.1891,规范,执法,环保
价值观念,0.3388,规范,守法,政治
假冒伪劣,0.1999,规范,执法,环保
家庭暴力,0.2544,合法性,司法,社会
加强监督,0.3459,规范,执法,社会
纪律,0.2852,规范,守法,政治
纪检监察,0.1875,规范,司法,政治
计划经济,0.2613,规范,立法,经济
基本权利,0.3559,合法性,司法,社会
基本法,0.2849,合法性,立法,国际
机关干部,0.1034,规范,执法,社会
惠民,0.115,规范,立法,科技
环境污染,0.2098,秩序,守法,环保
环境保护,0.2558,规范,立法,环保
环境,0.3205,秩序,守法,环保
互联网,0.2071,规范,守法,科技
宏观调控,0.2097,规范,立法,经济
黑恶势力,0.2248,秩序,执法,社会
和谐社区,0.2911,规范,守法,社会
和谐社会,0.4651,规范,守法,社会
和谐,0.4084,秩序,守法,社会
合同法,0.2254,规范,立法,社会
合法性,0.3119,合法性,立法,政治
合法权益,0.3139,规范,守法,社会
合法权利,0.2779,合法性,司法,社会
合法,0.2762,合法性,守法,社会
国有企业,0.1396,规范,司法,经济
国企,0.1316,规范,守法,经济
国民经济,0.1041,规范,立法,经济
国民,0.1739,秩序,守法,社会
国家治理,0.4305,合法性,立法,社会
国家行政学院,0.2553,规范,司法,经济
国家赔偿,0.3282,合法性,司法,社会
国家林业局,0.0758,规范,执法,环保
国家机关,0.1949,规范,司法,社会
国际法,0.2925,合法性,司法,国际
规章制度,0.3058,规范,守法,社会
规章,0.3581,规范,立法,社会
规则,0.3846,规范,立法,国际
规律,0.2957,规范,立法,社会
规矩,0.3105,规范,守法,环保
规范性,0.372,规范,立法,社会
规范化,0.3825,规范,立法,社会
规范,0.3704,规范,执法,社会
贯彻执行,0.2614,规范,守法,政治
贯彻实施,0.3291,规范,立法,社会
管制,0.182,规范,执法,经济
管理制度,0.2857,规范,执法,社会
管理体制,0.2938,规范,执法,社会
管理机制,0.2877,规范,执法,社会
官司,0.2128,合法性,司法,环保
观念,0.3994,规范,守法,社会
共同体,0.107,合法性,守法,政治
公众,0.3057,合法性,立法,社会
公职人员,0.3059,规范,守法,社会
公证,0.2606,规范,司法,社会
公正执法,0.4575,规范,司法,社会
公正性,0.343,合法性,司法,社会
公正司法,0.5475,规范,司法,社会
公正廉洁,0.4349,规范,司法,社会
公正,0.4252,秩序,司法,社会
公益,0.2655,规范,司法,社会
公信力,0.4105,合法性,司法,社会
公信,0.4702,合法性,司法,社会
公务员,0.2348,规范,司法,社会
公务人员,0.3816,规范,守法,社会
公司,0.0797,规范,执法,科技
公示,0.1326,规范,立法,国际
公权力,0.395,合法性,司法,社会
公权,0.3783,规范,司法,社会
公仆,0.3521,规范,守法,政治
公平正义,0.5851,秩序,司法,社会
公平性,0.2656,合法性,立法,社会
公平竞争,0.3514,规范,守法,社会
公平,0.3827,秩序,守法,社会
公民权利,0.4427,合法性,司法,社会
公民,0.403,规范,守法,社会
公理,0.3367,合法性,司法,社会
公款吃喝,0.2023,规范,执法,环保
公开审判,0.3439,合法性,司法,社会
公开,0.3197,规范,司法,社会
公共性,0.3232,合法性,立法,社会
公共卫生,0.1766,规范,司法,环保
公共利益,0.3408,合法性,司法,社会
公共服务,0.3023,规范,司法,社会
公共财政,0.2373,规范,立法,经济
公共安全,0.2837,秩序,司法,社会
公共,0.2585,规范,司法,社会
公布,0.1294,规范,执法,经济
公安局,0.1595,秩序,执法,环保
公安机关,0.2279,规范,执法,社会
公安部,0.136,规范,执法,国际
公安,0.2057,秩序,执法,环保
根本大法,0.3518,合法性,立法,政治
各族人民,0.1874,秩序,守法,政治
革命,0.0834,合法性,司法,政治
改制,0.0956,规范,立法,社会
改革开放,0.2531,规范,立法,经济
改革,0.2894,规范,立法,社会
富裕,0.2042,规范,守法,经济
富强,0.2951,规范,守法,经济
富民,0.1603,规范,守法,科技
复兴,0.2037,秩序,立法,政治
腐败现象,0.2252,规范,司法,政治
腐败分子,0.2297,秩序,司法,政治
腐败,0.2438,规范,司法,政治
扶正祛邪,0.413,规范,守法,社会
封建社会,0.301,规范,司法,政治
风险意识,0.3263,规范,守法,社会
非公有制,0.1149,规范,守法,社会
房地产,0.0854,规范,执法,经济
方针政策,0.2312,规范,守法,政治
犯罪行为,0.224,秩序,司法,社会
犯罪分子,0.1965,秩序,执法,社会
犯罪案件,0.1307,规范,司法,社会
犯法,0.2894,合法性,守法,社会
反贪,0.1909,合法性,司法,环保
反腐倡廉,0.3064,规范,司法,政治
反腐败,0.2585,秩序,司法,政治
反腐,0.2991,合法性,司法,政治
法治政府,0.5819,规范,立法,社会
法治思维,0.5262,规范,守法,社会
法治社会,0.6793,规范,守法,社会
法治理念,0.6298,规范,司法,社会
法治建设,0.7078,规范,司法,社会
法治化,0.6528,规范,立法,社会
法治国家,0.5785,合法性,司法,政治
法制宣传,0.5039,规范,守法,社会
法制日报,0.2792,规范,司法,社会
法制环境,0.4846,规范,司法,社会
法制化,0.4816,规范,立法,社会
法制轨道,0.4439,规范,立法,社会
法制观念,0.5167,规范,守法,社会
法制,0.6648,规范,立法,社会
法院,0.2871,合法性,司法,社会
法庭,0.2793,合法性,司法,环保
法律制度,0.5117,规范,立法,社会
法律责任,0.2331,规范,执法,社会
法律援助,0.2577,合法性,司法,社会
法律意识,0.5399,规范,守法,社会
法律依据,0.3499,合法性,立法,社会
法律条文,0.3966,规范,立法,社会
法律手段,0.4316,规范,守法,社会
法律监督,0.3761,规范,司法,社会
法律化,0.3841,合法性,立法,政治
法律法规,0.4036,规范,立法,社会
法律常识,0.367,规范,守法,社会
法律,0.5208,规范,立法,社会
法令,0.1865,合法性,立法,政治
法纪,0.4101,规范,守法,政治
法规,0.3585,规范,立法,政治
法官,0.331,合法性,司法,社会
法定程序,0.3466,合法性,立法,政治
法定,0.296,合法性,立法,社会
罚治,0.3537,合法性,守法,社会
发展权,0.2112,合法性,司法,社会
发展趋势,0.1876,合法性,立法,国际
渎职侵权,0.2172,规范,司法,社会
督察,0.1872,规范,执法,环保
督查,0.1911,规范,执法,环保
懂法,0.4714,规范,守法,社会
钉子户,0.251,合法性,执法,社会
抵制,0.1952,规范,守法,政治
德治,0.5295,规范,守法,社会
德育,0.2388,规范,司法,科技
道义,0.3026,合法性,司法,社会
道德素质,0.3188,规范,守法,社会
道德水准,0.3164,规范,守法,社会
道德教育,0.3676,规范,守法,社会
道德规范,0.3652,规范,守法,社会
道德,0.3899,规范,守法,社会
党中央,0.1023,秩序,立法,政治
党执政,0.224,合法性,司法,政治
党支部,0.0879,规范,守法,科技
党政领导,0.2481,规范,司法,环保
党政机关,0.1747,规范,司法,社会
党政,0.2241,规范,司法,社会
党委,0.2088,规范,司法,社会
党纪国法,0.3325,规范,守法,政治
党纪,0.3221,规范,守法,政治
党和政府,0.1935,秩序,司法,社会
党和人民,0.2105,规范,司法,政治
党和国家,0.1892,秩序,司法,政治
党规,0.318,规范,守法,政治
党风廉政,0.274,规范,执法,政治
党的领导,0.3738,合法性,司法,政治
大局意识,0.3675,规范,守法,政治
打黑,0.2834,秩序,执法,社会
错案,0.3102,合法性,司法,社会
村务公开,0.2607,规范,立法,社会
村规民约,0.3292,规范,守法,环保
促发展,0.2112,规范,执法,经济
从严治党,0.3592,规范,司法,政治
创新,0.3011,规范,立法,科技
传统美德,0.2897,规范,守法,社会
程序正义,0.4228,合法性,司法,社会
程序性,0.2569,合法性,立法,政治
程序化,0.4113,规范,立法,政治
程序法,0.418,合法性,立法,社会
程序,0.3484,规范,司法,环保
惩治腐败,0.2798,秩序,司法,经济
惩治,0.3155,规范,司法,社会
惩处,0.3223,规范,守法,社会
产权,0.1194,规范,司法,经济
产品质量法,0.1897,合法性,立法,环保
拆迁,0.1909,规范,执法,环保
草案,0.1314,合法性,立法,社会
参与权,0.3655,合法性,司法,社会
财政部,0.0287,规范,立法,经济
财政,0.1338,规范,立法,经济
财产权,0.2715,合法性,司法,社会
不公,0.3068,秩序,司法,社会
标本兼治,0.2965,规范,执法,经济
保障人权,0.4414,合法性,司法,社会
保障机制,0.2599,规范,司法,社会
保驾护航,0.3226,规范,守法,科技
保护主义,0.2317,秩序,执法,经济
保护环境,0.2314,规范,守法,环保
澳门特别行政区,0.1254,合法性,司法,国际
安全法,0.2081,规范,立法,环保
安全,0.1403,秩序,执法,环保
爱国主义,0.2135,规范,守法,科技
