word,similarity,功能,过程,领域
监管,0.3192,规范,执法,环保
人大常委会,0.319,合法性,立法,经济
反,0.319,秩序,执法,社会
保障体系,0.319,规范,立法,科技
专题研究,0.3189,规范,立法,经济
社会公众,0.3189,规范,立法,社会
廉政,0.3189,规范,守法,政治
依法,0.3188,规范,守法,社会
法理,0.3188,合法性,司法,社会
自行,0.3187,合法性,执法,环保
法律宣传,0.3183,合法性,守法,环保
副,0.3181,规范,执法,经济
全国人大,0.3177,合法性,立法,国际
常委,0.3176,规范,司法,经济
刑事,0.3172,合法性,司法,社会
预防,0.3171,规范,司法,社会
合宪性,0.3166,合法性,立法,政治
社会秩序,0.3165,秩序,守法,社会
刑罚,0.3155,合法性,司法,社会
程序,0.3151,合法性,司法,环保
行使职权,0.3147,合法性,司法,政治
用法,0.314,规范,守法,社会
文化教育,0.3138,规范,司法,环保
委员会,0.3137,合法性,立法,国际
市场秩序,0.3137,规范,执法,社会
村规民约,0.3137,规范,守法,环保
十一届三中全会,0.3134,合法性,立法,经济
十三届,0.3134,规范,立法,经济
强制性,0.3133,规范,执法,环保
聘请,0.3131,合法性,司法,环保
分局,0.313,规范,执法,环保
现行,0.3128,秩序,立法,社会
交通安全,0.3128,规范,执法,环保
尊严,0.3127,秩序,守法,社会
自觉遵守,0.3125,规范,守法,社会
副局长,0.3124,规范,执法,经济
决定,0.3122,合法性,司法,社会
违法,0.3121,规范,执法,环保
保密,0.3115,合法性,执法,科技
德治国,0.3114,合法性,守法,社会
公安局,0.3113,规范,执法,环保
学说,0.3112,合法性,立法,社会
形同虚设,0.3111,规范,执法,政治
法令,0.3111,规范,守法,政治
社会主义市场经济,0.3106,规范,守法,经济
公民,0.3104,合法性,守法,社会
应当,0.3098,合法性,司法,社会
室,0.3097,规范,司法,环保
党内,0.3093,规范,立法,政治
中国社会科学院,0.309,规范,司法,经济
研究会,0.3088,规范,立法,国际
审判,0.3085,合法性,司法,社会
正规化,0.3084,规范,司法,政治
编纂,0.3082,规范,立法,经济
法,0.3081,规范,立法,社会
徇私枉法,0.3078,合法性,守法,政治
正当竞争,0.3075,规范,执法,经济
体制,0.3075,秩序,立法,科技
有关,0.3071,规范,执法,环保
爱国主义,0.307,规范,守法,科技
张文显,0.3069,合法性,守法,政治
权益,0.3069,规范,司法,社会
红头文件,0.3068,合法性,立法,环保
检察院,0.3065,规范,司法,社会
系,0.3064,合法性,司法,科技
人民代表大会,0.3064,合法性,立法,经济
制定,0.306,规范,立法,社会
依宪治国,0.3055,合法性,守法,政治
良法,0.3053,规范,守法,科技
检察官,0.305,合法性,司法,环保
律师,0.3049,合法性,司法,社会
相关,0.3046,规范,执法,环保
职业道德,0.3043,规范,守法,政治
原,0.3041,规范,司法,科技
付子堂,0.3041,合法性,守法,科技
依据,0.3039,合法性,执法,社会
全体会议,0.3038,合法性,立法,科技
社会主义法治理论,0.3037,规范,守法,政治
章程,0.3035,规范,立法,政治
事后,0.3033,规范,执法,社会
责任制,0.3032,合法性,守法,社会
司法公正,0.3029,合法性,司法,政治
批准,0.3028,合法性,立法,国际
强制,0.3027,合法性,执法,环保
体系,0.3021,规范,守法,科技
公职,0.3021,合法性,守法,政治
保障,0.3019,规范,执法,社会
总局,0.3018,规范,执法,国际
严格执行,0.3016,规范,执法,政治
建议,0.3013,规范,立法,环保
国安,0.3013,合法性,立法,科技
依,0.3012,合法性,守法,社会
中华人民共和国宪法,0.3008,合法性,立法,国际
主管部门,0.3006,规范,执法,环保
德治,0.3006,规范,守法,社会
公职人员,0.3004,规范,守法,社会
于法,0.3002,合法性,立法,政治
依法治理,0.3,规范,守法,社会
人民调解,0.2997,合法性,司法,社会
懂法,0.2996,规范,守法,社会
监督,0.2995,规范,执法,政治
必要,0.2995,合法性,执法,社会
司法机关,0.2994,规范,司法,社会
政法,0.299,规范,司法,政治
执法者,0.2988,合法性,执法,环保
立法机关,0.2988,合法性,立法,政治
所长,0.2986,秩序,司法,经济
第一部,0.2985,规范,立法,国际
按程序,0.2985,合法性,立法,国际
综治,0.2981,规范,司法,社会
南京师范大学,0.2979,规范,司法,科技
国民教育,0.2978,秩序,守法,社会
管理法,0.2977,规范,立法,社会
表决,0.2974,合法性,立法,国际
经济体制,0.2973,秩序,立法,经济
权利义务,0.2972,合法性,守法,社会
精神文明,0.2972,规范,守法,社会
法治国家,0.2969,合法性,守法,社会
以良法,0.2967,规范,立法,社会
工作,0.2967,规范,立法,科技
副委员长,0.2966,规范,立法,国际
设立,0.2965,规范,司法,科技
公平竞争,0.2964,规范,守法,经济
根本法,0.2964,合法性,立法,政治
党的领导,0.2964,规范,守法,政治
纪律,0.2961,规范,守法,政治
保障法,0.2961,规范,立法,社会
论证,0.2952,合法性,立法,国际
立改,0.2952,规范,立法,经济
日常,0.295,规范,执法,环保
道德教育,0.295,合法性,守法,社会
党委,0.2947,规范,执法,政治
惩戒,0.2944,规范,守法,社会
中南财经政法大学,0.2941,规范,司法,科技
管理体系,0.2941,规范,执法,科技
法律事务,0.294,合法性,司法,国际
行为,0.2939,规范,执法,社会
罚款,0.2936,规范,执法,环保
之前,0.2935,合法性,执法,环保
办案,0.2935,规范,司法,社会
以案释法,0.2934,合法性,司法,环保
相应,0.2934,规范,执法,社会
民事,0.2934,规范,司法,社会
执法权,0.2933,合法性,执法,环保
革命化,0.2933,合法性,司法,政治
长治久安,0.2932,秩序,立法,政治
派出所,0.293,合法性,执法,环保
机制,0.293,规范,执法,社会
公民权利,0.293,合法性,司法,社会
任,0.2929,秩序,司法,国际
以后,0.2925,规范,守法,环保
学术,0.2922,规范,立法,科技
人民意志,0.2921,合法性,立法,社会
切实加强,0.2919,规范,执法,政治
禁止,0.2919,规范,执法,环保
检察长,0.2918,合法性,司法,政治
国安法,0.2917,合法性,立法,国际
委员长,0.2915,合法性,立法,政治
不断完善,0.2915,规范,司法,社会
天津市,0.2914,规范,执法,科技
禁毒,0.2911,合法性,执法,社会
安全,0.291,秩序,司法,环保
思想,0.2907,规范,守法,政治
重要环节,0.2905,规范,守法,科技
乡规民约,0.2904,规范,守法,社会
条款,0.2904,规范,立法,环保
公序良,0.2903,规范,守法,社会
违法行为,0.2902,规范,执法,环保
予以,0.29,规范,执法,社会
行政法学,0.2899,合法性,立法,经济
十二届,0.2899,规范,立法,国际
治理能力,0.2897,规范,立法,社会
依法处理,0.2896,合法性,执法,社会
严格,0.289,规范,执法,环保
矫正,0.2889,规范,司法,社会
五是,0.2886,规范,司法,社会
高级人民法院,0.2886,规范,司法,社会
坚实,0.2884,秩序,立法,经济
同时,0.288,规范,司法,社会
徐显明,0.2879,合法性,守法,政治
忠于,0.2878,合法性,守法,政治
相,0.2877,合法性,立法,社会
经,0.2877,规范,司法,国际
会同,0.2877,规范,执法,社会
教材,0.2875,规范,立法,政治
负责,0.2875,合法性,执法,国际
党组书记,0.2874,规范,执法,经济
须,0.2873,规范,司法,科技
法律咨询,0.2873,合法性,司法,社会
护法,0.2868,规范,守法,社会
保护,0.2868,规范,立法,环保
自治区,0.2867,规范,执法,国际
王利明,0.2867,合法性,立法,科技
政治文明,0.2865,秩序,立法,政治
道德,0.2865,规范,守法,社会
编写,0.2863,规范,立法,政治
合法,0.2859,合法性,执法,社会
社会主义,0.2858,秩序,守法,政治
专业性,0.285,合法性,立法,环保
反间谍,0.2847,规范,立法,社会
依宪,0.2846,合法性,守法,政治
对外,0.2845,规范,立法,国际
当事人,0.2843,合法性,司法,社会
人身,0.2839,规范,司法,社会
六是,0.2838,规范,司法,社会
中央党校,0.2837,规范,执法,政治
常州市,0.2837,规范,执法,环保
讲法,0.2836,合法性,守法,社会
徒法,0.2835,合法性,守法,科技
国家治理,0.2833,规范,立法,社会
最高人民法院,0.2832,规范,司法,经济
促进法,0.2832,规范,立法,经济
施行,0.2828,规范,立法,社会
学苑,0.2827,合法性,立法,社会
履行职责,0.2825,规范,司法,政治
七五,0.2824,合法性,守法,社会
监督制约,0.2824,规范,司法,政治
委员,0.2822,规范,立法,科技
全国政协,0.2822,规范,立法,经济
副教授,0.2822,合法性,立法,经济
食品安全,0.2821,规范,执法,环保
听取,0.282,合法性,立法,科技
科学性,0.2819,合法性,立法,政治
不得,0.2819,规范,司法,社会
教育课,0.2818,合法性,守法,环保
冤假错案,0.2817,合法性,司法,政治
执法人员,0.2815,规范,执法,环保
民族区域,0.2815,规范,立法,政治
党,0.2814,规范,守法,政治
治安,0.2813,秩序,执法,社会
建立,0.2813,规范,执法,社会
惩处,0.2813,规范,执法,社会
在改革中,0.281,合法性,立法,经济
山西省,0.281,规范,执法,环保
三是,0.281,规范,司法,社会
干预,0.2809,规范,司法,社会
山东省,0.2808,规范,执法,科技
征求意见,0.2807,规范,立法,社会
适用法律,0.2807,规范,司法,政治
公信,0.2806,规范,司法,社会
严明,0.2805,规范,守法,政治
信息化,0.2805,规范,执法,科技
突发事件,0.2804,合法性,执法,社会
反腐倡廉,0.2804,规范,守法,政治
人人平等,0.2802,合法性,守法,社会
审议,0.2801,合法性,立法,国际
局局长,0.2801,规范,执法,经济
或者,0.2801,合法性,执法,国际
层面,0.2798,合法性,立法,社会
政协,0.2796,规范,立法,政治
律师协会,0.2796,规范,司法,社会
信用,0.2795,规范,守法,经济
执法检查,0.2793,规范,执法,环保
政法队伍,0.2792,规范,司法,政治
成员,0.2791,合法性,司法,国际
准绳,0.279,合法性,守法,政治
严惩,0.279,规范,执法,社会
事务所,0.2789,合法性,司法,科技
法有,0.2789,合法性,立法,经济
保护意识,0.2789,合法性,守法,环保
党的路线,0.2788,合法性,立法,政治
概论,0.2784,规范,守法,科技
教授,0.2782,规范,立法,科技
贯彻,0.2782,规范,司法,政治
总则,0.278,规范,立法,社会
公安,0.2777,规范,执法,社会
野生动物,0.2776,规范,执法,环保
统一性,0.2774,合法性,执法,政治
人治,0.2774,秩序,守法,政治
二是,0.2774,规范,司法,社会
法律手段,0.2772,规范,守法,社会
公共利益,0.2771,合法性,司法,社会
依规,0.277,规范,守法,政治
废释,0.277,合法性,立法,经济
公民道德,0.2765,规范,守法,社会
协调,0.2762,规范,执法,经济
院长,0.2761,规范,司法,科技
研究,0.2761,合法性,立法,科技
昌明,0.276,合法性,守法,科技
之治,0.2759,秩序,守法,政治
运行机制,0.2759,规范,司法,科技
见义勇为,0.2759,规范,守法,社会
宣誓,0.2758,合法性,守法,科技
先,0.2758,规范,守法,科技
遵守,0.2757,规范,守法,政治
当家作主,0.2757,秩序,立法,政治
纪检监察,0.2755,规范,司法,政治
指导,0.2754,规范,立法,科技
进一步,0.2754,规范,司法,经济
保障机制,0.2752,规范,执法,社会
中国人民大学,0.2748,规范,司法,科技
法无,0.2748,合法性,守法,经济
比如,0.2746,规范,立法,环保
相对,0.2744,规范,执法,社会
国家行政学院,0.2743,规范,执法,政治
及时,0.2741,规范,司法,社会
厉行,0.2739,规范,守法,政治
依法打击,0.2738,秩序,司法,社会
市,0.2738,规范,执法,环保
监管部门,0.2738,规范,执法,环保
多部,0.2735,规范,立法,国际
督导,0.2735,规范,执法,科技
四是,0.2734,规范,司法,社会
法官,0.2734,合法性,司法,国际
不断加强,0.2734,规范,执法,政治
作,0.2733,规范,立法,政治
安定,0.2733,秩序,守法,社会
适用,0.2732,规范,司法,国际
公平,0.2732,秩序,守法,社会
随意,0.2727,规范,执法,环保
遵纪守法,0.2726,规范,守法,政治
缺位,0.2726,规范,执法,社会
澳门特别行政区基本法,0.2726,合法性,立法,国际
执法不严,0.2725,规范,守法,环保
三治,0.2725,规范,守法,社会
价值观,0.2725,秩序,守法,政治
坚持,0.2723,规范,守法,政治
教化,0.2722,合法性,守法,社会
咨询,0.2721,合法性,司法,科技
中小学校,0.2721,规范,执法,社会
法律监督,0.272,规范,司法,政治
魏哲哲,0.2719,规范,司法,社会
执法水平,0.2718,规范,执法,社会
纳入,0.2718,规范,守法,社会
民主集中制,0.2718,合法性,守法,政治
释法,0.2717,合法性,司法,社会
基础,0.2717,秩序,立法,科技
司法鉴定,0.2716,规范,司法,环保
初期,0.2716,规范,立法,国际
安全意识,0.2714,规范,守法,环保
辽宁省,0.2713,规范,执法,环保
国际交流,0.2712,规范,司法,国际
确保,0.2711,规范,执法,政治
列入,0.2711,合法性,立法,社会
推行,0.271,规范,执法,环保
依法惩治,0.2709,秩序,司法,社会
家庭教育,0.2709,规范,司法,社会
未成年人,0.2707,规范,司法,社会
司法权,0.2705,合法性,司法,政治
贯彻执行,0.2705,合法性,守法,政治
文明,0.2704,秩序,守法,环保
社会公德,0.2704,规范,守法,社会
公开,0.2703,规范,执法,环保
改革,0.2702,规范,立法,科技
规范市场,0.2701,规范,守法,国际
注重,0.27,规范,立法,社会
社会安定,0.27,秩序,守法,社会
到,0.2699,规范,执法,环保
社会关系,0.2698,规范,守法,社会
评估,0.2698,合法性,执法,环保
人民法院,0.2693,规范,司法,社会
依托,0.2691,规范,司法,科技
彭波,0.2691,规范,司法,社会
省委,0.269,规范,立法,经济
全会,0.269,合法性,立法,政治
法安,0.2689,秩序,守法,社会
固化,0.2688,规范,立法,政治
国家,0.2686,秩序,立法,国际
党校,0.2686,规范,执法,政治
强制力,0.2684,合法性,守法,政治
理论体系,0.2684,规范,立法,科技
道德规范,0.2683,规范,守法,社会
党政,0.2682,合法性,执法,政治
管,0.268,规范,执法,科技
资料,0.2679,合法性,立法,国际
民族团结,0.2678,规范,守法,政治
欺凌,0.2677,合法性,司法,社会
爱国,0.2677,秩序,守法,社会
加强,0.2676,规范,执法,社会
甘肃省,0.2676,规范,执法,环保
错案,0.2676,合法性,司法,社会
上来,0.2675,合法性,执法,政治
根本保证,0.2675,规范,立法,政治
各个环节,0.2675,规范,守法,环保
不可偏废,0.2675,合法性,守法,社会
关,0.2674,规范,执法,政治
防范,0.2674,规范,执法,社会
城管,0.2673,规范,执法,环保
聘任,0.2671,规范,司法,科技
规矩,0.2671,规范,守法,政治
法学家,0.2671,合法性,守法,政治
作用,0.267,规范,立法,社会
政体,0.267,合法性,立法,政治
一方面,0.267,规范,司法,科技
三位一体,0.2669,规范,司法,科技
送法,0.2668,合法性,司法,社会
论法,0.2665,规范,守法,社会
吉林省,0.2664,规范,司法,科技
定期,0.2664,规范,执法,环保
议案,0.266,合法性,立法,国际
尊法,0.2659,合法性,守法,社会
国法,0.2659,规范,守法,政治
省级,0.2658,规范,执法,科技
全国人民代表大会,0.2656,合法性,立法,经济
调处,0.2656,合法性,司法,社会
专业,0.2655,规范,司法,科技
立场坚定,0.2655,合法性,守法,政治
工作人员,0.2654,规范,执法,环保
法理学,0.2654,合法性,立法,科技
参考,0.2654,合法性,立法,经济
宣传,0.2653,规范,守法,社会
重要职责,0.2652,规范,司法,社会
预算法,0.2652,规范,立法,环保
哲学,0.2651,秩序,立法,科技
性质,0.265,合法性,司法,政治
权威性,0.265,合法性,立法,政治
配备,0.265,规范,执法,环保
标准化,0.265,规范,执法,环保
捍卫,0.2648,秩序,执法,政治
外交部,0.2647,合法性,司法,国际
必须,0.2647,规范,司法,政治
基础性,0.2646,规范,立法,科技
整顿,0.2645,规范,执法,政治
武汉大学,0.2645,秩序,司法,科技
担任,0.2643,合法性,司法,国际
必需,0.2643,规范,守法,社会
王比学,0.2642,规范,立法,社会
秘书长,0.2642,合法性,立法,国际
严厉打击,0.2641,规范,执法,社会
适时,0.2641,规范,立法,环保
惩罚,0.2641,合法性,执法,社会
执法为民,0.2638,规范,司法,政治
支撑,0.2638,规范,立法,科技
法务,0.2638,合法性,司法,科技
大纲,0.2637,合法性,立法,政治
一级,0.2634,规范,执法,国际
文书,0.2633,合法性,司法,国际
履职,0.263,规范,司法,政治
说明,0.2627,合法性,立法,社会
深入开展,0.2627,规范,守法,社会
得以,0.2626,秩序,司法,社会
不当,0.2626,规范,司法,政治
遵法,0.2625,规范,守法,社会
主持,0.2625,规范,立法,科技
止争,0.2625,合法性,司法,社会
定分,0.2625,合法性,司法,社会
促进作用,0.2625,规范,立法,经济
社会科学,0.2624,规范,立法,科技
科学技术,0.2624,规范,立法,科技
中共中央政治局,0.2623,规范,司法,经济
下来,0.2623,规范,执法,环保
协助,0.2622,规范,司法,国际
奠定,0.2622,秩序,立法,经济
法纪,0.2621,规范,守法,政治
程序正义,0.2621,合法性,司法,社会
重大意义,0.262,合法性,立法,政治
制止,0.262,规范,执法,社会
金融监管,0.262,规范,司法,经济
化解,0.262,合法性,司法,社会
从根本上,0.2619,合法性,执法,政治
议事,0.2618,合法性,立法,政治
治理体系,0.2617,秩序,立法,社会
社会,0.2617,秩序,司法,社会
上海市,0.2617,规范,立法,科技
权力,0.2617,规范,执法,政治
案件,0.2616,规范,司法,社会
建设,0.2615,规范,立法,科技
其次,0.2614,规范,守法,社会
实践,0.2613,规范,司法,社会
补充,0.2613,规范,执法,社会
执行,0.2612,合法性,司法,政治
担负起,0.2612,规范,守法,政治
富强,0.2611,秩序,守法,社会
民警,0.261,规范,执法,环保
医疗纠纷,0.2609,规范,司法,社会
卫生,0.2608,规范,执法,环保
自觉性,0.2607,规范,守法,政治
王晨,0.2607,规范,立法,科技
创建活动,0.2604,规范,守法,社会
协商,0.2601,合法性,立法,政治
理论,0.2601,规范,立法,政治
严肃性,0.26,合法性,执法,政治
遇到,0.2599,规范,执法,科技
救济,0.2599,合法性,司法,社会
三中全会,0.2598,规范,立法,社会
会长,0.2598,秩序,守法,经济
德润,0.2597,规范,守法,社会
切实,0.2596,规范,司法,社会
治之端,0.2595,规范,守法,科技
法家,0.2594,合法性,守法,社会
司法改革,0.2593,合法性,司法,政治
结论,0.2592,合法性,守法,政治
关进,0.2592,规范,守法,政治
正义,0.2591,秩序,司法,社会
法治化,0.2591,规范,守法,社会
保障制度,0.259,规范,司法,社会
陕西省,0.2589,规范,执法,科技
学理,0.2587,合法性,守法,政治
堂,0.2587,规范,司法,环保
违法者,0.2586,规范,守法,环保
日报社,0.2586,合法性,执法,科技
切身利益,0.2586,合法性,立法,社会
刘,0.2586,规范,执法,环保
透明度,0.2585,合法性,执法,国际
密切相关,0.2584,秩序,立法,社会
并且,0.2581,合法性,立法,环保
重视,0.258,规范,立法,社会
个案,0.258,合法性,司法,社会
相适应,0.2579,规范,守法,社会
理,0.2579,规范,守法,政治
部长,0.2576,规范,执法,经济
权责,0.2575,规范,执法,社会
专题讲座,0.2574,合法性,立法,科技
传统美德,0.2574,规范,守法,社会
常识,0.2573,合法性,守法,环保
村居,0.2572,规范,执法,环保
语言文字,0.2571,规范,立法,科技
重要一环,0.257,规范,司法,科技
长城,0.2568,规范,立法,环保
王,0.2568,规范,司法,科技
民意基础,0.2568,秩序,立法,国际
理直气壮,0.2568,合法性,守法,政治
许可,0.2567,规范,执法,国际
兴国,0.2566,规范,守法,科技
香港特别行政区,0.2566,合法性,立法,国际
深入研究,0.2566,合法性,立法,社会
意见建议,0.2565,合法性,立法,环保
检查组,0.2565,规范,执法,环保
三次,0.2564,规范,立法,经济
认真,0.2564,规范,立法,政治
各级党委,0.2562,规范,守法,社会
审批,0.2561,规范,执法,科技
党章,0.2561,规范,守法,政治
党规,0.2561,规范,守法,政治
深刻,0.256,秩序,立法,政治
俗,0.2559,规范,守法,社会
内蒙古自治区,0.2559,规范,司法,环保
介绍,0.2559,规范,执法,环保
这些,0.2558,规范,立法,环保
劳动,0.2558,规范,守法,社会
中华人民共和国,0.2557,秩序,执法,国际
把关,0.2557,规范,执法,政治
自治,0.2556,合法性,立法,社会
中小学,0.2555,规范,司法,科技
第三方,0.2555,合法性,执法,环保
凡是,0.2554,合法性,司法,社会
张璁,0.2552,规范,司法,社会
有效性,0.2552,合法性,立法,政治
复兴,0.2552,合法性,守法,政治
优秀成果,0.2551,规范,立法,科技
司法人员,0.2551,合法性,司法,政治
不同于,0.2551,合法性,司法,科技
形式,0.255,规范,立法,社会
严厉,0.2549,规范,执法,环保
杜绝,0.2549,规范,执法,环保
中共,0.2548,合法性,立法,经济
古代,0.2547,合法性,立法,国际
法者,0.2546,规范,守法,政治
追究,0.2545,规范,执法,社会
现代文明,0.2545,秩序,守法,科技
师资队伍,0.2545,规范,司法,科技
贯彻落实,0.2544,规范,立法,政治
法学界,0.2543,合法性,立法,社会
但是,0.2543,合法性,执法,环保
诚实,0.2543,规范,守法,社会
保障人权,0.2542,合法性,守法,社会
基本,0.2541,规范,立法,社会
财产,0.2541,合法性,司法,社会
章,0.254,规范,立法,国际
一手,0.254,秩序,执法,科技
推进,0.2533,规范,司法,经济
黄进,0.2533,合法性,守法,政治
宪制,0.2532,合法性,立法,政治
齐抓共管,0.2532,规范,守法,社会
高度重视,0.2532,规范,立法,经济
完备,0.2531,规范,立法,环保
法人,0.253,规范,司法,社会
其他,0.2529,合法性,司法,国际
家风,0.2529,规范,守法,政治
固定,0.2529,规范,执法,环保
员,0.2528,规范,执法,环保
渠道,0.2528,规范,执法,经济
明确要求,0.2522,规范,立法,政治
认真学习,0.252,规范,守法,政治
防治法,0.252,规范,立法,环保
保护网,0.252,规范,司法,社会
指导思想,0.2519,规范,立法,政治
市场经济,0.2519,秩序,守法,经济
领导小组,0.2519,规范,司法,科技
基石,0.2517,秩序,守法,社会
课,0.2516,规范,守法,科技
国家机关,0.2515,规范,守法,政治
社情民意,0.2513,合法性,立法,社会
服务体系,0.2512,规范,守法,科技
普及,0.2511,规范,守法,环保
科学化,0.2511,规范,立法,社会
凡属,0.2511,合法性,立法,科技
行之有效,0.251,规范,立法,经济
危害,0.251,秩序,执法,社会
加以,0.2509,规范,立法,经济
法律界,0.2509,合法性,司法,国际
下发,0.2508,规范,执法,环保
违规,0.2505,规范,执法,环保
化解矛盾,0.2504,合法性,司法,社会
曾,0.2504,规范,司法,国际
公共安全,0.2503,秩序,执法,社会
陈列馆,0.2503,规范,立法,科技
云南省,0.2501,规范,司法,环保
为此,0.2501,规范,执法,科技
必备,0.2501,规范,立法,政治
管用,0.25,合法性,立法,政治
积极开展,0.2499,规范,司法,环保
表述,0.2499,合法性,立法,政治
有,0.2496,规范,立法,科技
争议,0.2495,合法性,司法,社会
城乡,0.2495,规范,执法,经济
顺利开展,0.2494,规范,立法,科技
公安部,0.2494,规范,执法,社会
做尊,0.2493,规范,守法,社会
涉嫌,0.2493,合法性,执法,国际
系统性,0.2492,合法性,立法,政治
党纪,0.2492,规范,守法,政治
出庭,0.2492,合法性,司法,政治
与此同时,0.2491,规范,司法,社会
自然资源,0.249,规范,执法,环保
充分,0.249,合法性,司法,社会
