word,similarity,功能,过程,领域
审判权,0.3083,合法性,司法,政治
审判,0.2937,合法性,司法,社会
深化改革,0.3462,规范,守法,经济
涉外,0.472,规范,司法,国际
社情民意,0.1643,合法性,立法,社会
社会转型,0.2034,秩序,守法,社会
社会主义市场经济,0.348,规范,守法,经济
社会主义法治体系,0.5757,合法性,守法,政治
社会主义法治理论,0.4918,规范,守法,政治
社会主义法治国家,0.5725,合法性,守法,政治
社会主义,0.4103,秩序,守法,政治
社会秩序,0.3665,秩序,守法,社会
社会治安,0.2893,秩序,司法,社会
社会制度,0.1492,秩序,执法,政治
社会科学,0.1874,规范,立法,科技
社会化,0.2048,规范,执法,社会
社会关系,0.2868,规范,守法,社会
社会公众,0.2871,规范,立法,社会
社会公德,0.3519,规范,守法,社会
社会各界,0.2044,合法性,司法,社会
社会风尚,0.2587,规范,守法,社会
社会风气,0.2822,秩序,守法,社会
社会保障,0.1888,规范,立法,经济
社会安定,0.3068,秩序,守法,社会
社会,0.3053,秩序,司法,社会
少数民族,0.1126,规范,立法,国际
上访,0.1336,合法性,司法,社会
商业,0.1602,秩序,立法,经济
商事,0.2118,规范,司法,国际
善治,0.5372,规范,立法,社会
扫黑,0.2834,秩序,司法,社会
三权分立,0.1813,合法性,守法,政治
人治,0.2938,秩序,守法,政治
人与自然,0.2163,秩序,守法,环保
人人平等,0.3364,合法性,守法,社会
人权保障,0.3231,合法性,司法,国际
人权,0.255,合法性,司法,国际
人民意志,0.2574,合法性,立法,社会
人民性,0.2604,合法性,立法,政治
人民日报,0.1136,规范,司法,经济
人民满意,0.2123,规范,守法,科技
人民军队,0.1706,秩序,立法,政治
人民警察,0.199,规范,执法,社会
人民检察院,0.2207,规范,司法,社会
人民法院,0.2422,规范,司法,社会
人民调解,0.2238,合法性,司法,社会
人民代表大会,0.1989,合法性,立法,经济
人民,0.2756,秩序,立法,社会
人类文明,0.2146,秩序,司法,国际
人类,0.1227,秩序,司法,国际
人工智能,0.1542,规范,司法,科技
人格权,0.2946,合法性,司法,社会
人大,0.2644,合法性,立法,政治
权责,0.2742,规范,执法,社会
权益,0.2977,规范,司法,社会
权限,0.2338,规范,执法,科技
权威性,0.2969,合法性,立法,政治
权威,0.3495,规范,守法,国际
权利义务,0.2952,合法性,守法,社会
权利保障,0.269,规范,司法,社会
权利,0.2611,合法性,司法,社会
权力观,0.2207,规范,守法,政治
权力,0.2948,规范,执法,政治
全球性,0.1336,秩序,执法,国际
全球,0.0992,秩序,执法,国际
全民,0.2175,规范,守法,社会
全国政协,0.1461,规范,立法,经济
全国人民代表大会,0.1223,合法性,立法,经济
全国人大常委会法工委,0.2924,合法性,立法,社会
全国人大常委会,0.273,规范,立法,国际
全国人大,0.2351,合法性,立法,国际
清正廉洁,0.2143,规范,守法,政治
侵权,0.2006,规范,执法,国际
强制性,0.214,规范,执法,环保
强制力,0.3003,合法性,守法,政治
强制,0.2034,合法性,执法,环保
契约,0.297,秩序,守法,社会
起草,0.1992,合法性,立法,国际
企业家,0.2004,规范,守法,经济
普法教育,0.375,合法性,守法,社会
普法,0.48,规范,守法,环保
平等,0.2519,秩序,守法,社会
平安,0.2686,秩序,司法,社会
品德,0.1922,规范,守法,政治
蓬勃发展,0.1707,规范,立法,经济
判决,0.188,合法性,司法,社会
农民,0.1313,规范,守法,科技
内政外交,0.1869,合法性,立法,政治
内政,0.1945,合法性,司法,政治
内蒙古自治区,0.1301,规范,司法,环保
谋发展,0.1927,秩序,立法,经济
明法,0.3158,规范,守法,政治
民族团结,0.2409,规范,守法,政治
民族事务,0.3176,合法性,守法,社会
民族区域,0.2404,规范,立法,政治
民族,0.2365,规范,守法,社会
民主协商,0.1959,合法性,立法,社会
民主权利,0.1894,合法性,立法,政治
民主监督,0.211,规范,立法,政治
民主集中制,0.2403,合法性,守法,政治
民主,0.2466,合法性,立法,政治
民众,0.1305,合法性,立法,国际
民智,0.1768,合法性,立法,社会
民政部,0.1206,规范,司法,社会
民怨,0.2028,合法性,守法,社会
民营企业,0.1471,规范,守法,经济
民营,0.192,规范,守法,经济
民意基础,0.2152,秩序,立法,国际
民意,0.1976,合法性,立法,政治
民心,0.1387,秩序,司法,政治
民事权利,0.2975,合法性,司法,社会
民事,0.3128,规范,司法,社会
民声,0.1644,规范,立法,社会
民生,0.2318,秩序,立法,经济
民情,0.1749,合法性,立法,社会
民企,0.14,规范,司法,经济
民警,0.1861,规范,执法,环保
民间,0.1533,规范,立法,社会
民告官,0.2399,合法性,司法,社会
民风,0.1884,规范,守法,经济
民法典,0.4182,规范,立法,社会
民法,0.325,规范,立法,社会
民,0.1986,合法性,立法,社会
美德,0.2736,规范,守法,社会
论政,0.3342,合法性,守法,社会
绿水青山,0.1715,秩序,守法,环保
履行义务,0.1785,秩序,司法,社会
粮食安全,0.168,合法性,立法,经济
良法,0.4027,规范,守法,科技
廉政,0.2703,规范,守法,政治
廉洁,0.2502,规范,守法,政治
立法权,0.2616,合法性,立法,经济
立法机关,0.2837,合法性,立法,政治
立法机构,0.1899,合法性,立法,政治
立法法,0.3008,合法性,立法,经济
立法,0.4208,合法性,立法,经济
立德,0.2285,规范,守法,政治
立案,0.1411,规范,司法,政治
历史唯物主义,0.2648,合法性,守法,政治
理政中,0.3254,规范,立法,政治
理政,0.2311,秩序,立法,政治
理性,0.2521,规范,守法,社会
礼治,0.1981,合法性,守法,社会
劳动者,0.1799,规范,守法,科技
劳动,0.1868,规范,守法,社会
蓝皮书,0.1664,规范,司法,国际
恐怖主义,0.1743,合法性,执法,国际
恪守,0.2747,秩序,司法,政治
科学性,0.2964,合法性,立法,政治
科学决策,0.271,合法性,立法,政治
科学化,0.2932,规范,立法,社会
科学合理,0.2519,规范,立法,环保
科学,0.3161,规范,守法,科技
科技,0.2364,规范,司法,科技
军民,0.1126,规范,立法,科技
决策程序,0.2495,合法性,立法,政治
境外,0.1258,规范,执法,国际
精神文明,0.2585,规范,守法,社会
经济运行,0.132,秩序,立法,经济
经济体制,0.1904,秩序,立法,经济
经济社会,0.2558,秩序,立法,经济
经济基础,0.2208,秩序,司法,经济
经济,0.1965,秩序,立法,经济
金融业,0.1768,规范,司法,经济
金融市场,0.1995,秩序,司法,经济
金融监管,0.2534,规范,司法,经济
金融机构,0.1602,规范,司法,经济
金融服务,0.1923,规范,司法,科技
金融风险,0.2855,规范,司法,经济
金融,0.3089,规范,司法,经济
教育法,0.2984,规范,立法,社会
交通安全,0.2715,规范,执法,环保
讲法,0.33,合法性,守法,社会
建章立制,0.3071,规范,立法,政治
见义勇为,0.1569,规范,守法,社会
简政放权,0.1858,规范,执法,经济
检察长,0.2457,合法性,司法,政治
检察院,0.2421,规范,司法,社会
检察机关,0.2316,规范,司法,政治
检察官,0.2459,合法性,司法,环保
检察工作,0.3003,规范,司法,政治
检察,0.3028,规范,司法,社会
监管部门,0.1957,规范,执法,环保
监督制约,0.2919,规范,司法,政治
监督制度,0.3,规范,立法,政治
监督权,0.2818,合法性,立法,政治
监督机制,0.3259,规范,执法,政治
监督管理,0.229,规范,执法,科技
监督,0.2858,规范,执法,政治
监察,0.2652,规范,执法,政治
价值观念,0.2627,秩序,守法,政治
家庭教育,0.2073,规范,司法,社会
纪律,0.284,规范,守法,政治
纪检监察,0.2241,规范,司法,政治
激励机制,0.2331,规范,守法,科技
基本准则,0.2953,秩序,司法,国际
基本权利,0.2859,合法性,守法,社会
基本规律,0.3051,规范,守法,科技
基本法,0.2725,合法性,立法,国际
机制,0.3304,规范,执法,社会
惠民,0.1613,规范,执法,环保
环境治理,0.2055,秩序,执法,环保
环境污染,0.135,规范,执法,环保
环境保护,0.2347,规范,执法,环保
环境,0.284,规范,执法,经济
环保,0.1619,规范,执法,环保
话语权,0.2438,秩序,立法,国际
华东政法,0.2644,合法性,司法,科技
互联网,0.1845,规范,司法,科技
宏观调控,0.2269,规范,立法,经济
黑恶势力,0.2183,秩序,司法,政治
和谐社会,0.2843,规范,守法,社会
合宪性,0.2714,合法性,立法,政治
合规,0.3145,规范,守法,环保
合法性,0.3036,合法性,立法,政治
合法权益,0.3777,规范,司法,社会
合法权利,0.2618,合法性,司法,社会
合法,0.2656,合法性,执法,社会
海洋法,0.1684,合法性,司法,国际
国兴,0.23,规范,守法,科技
国务院办公厅,0.19,规范,执法,经济
国泰民安,0.1828,秩序,守法,政治
国内法,0.2793,合法性,司法,国际
国家主权,0.2945,秩序,司法,政治
国家治理,0.4106,规范,立法,社会
国家行政学院,0.224,规范,执法,政治
国际形象,0.2169,秩序,守法,国际
国际竞争,0.1643,合法性,立法,科技
国际经贸,0.237,秩序,司法,国际
国际交流,0.2817,规范,司法,国际
国际化,0.315,规范,司法,国际
国际法,0.3029,秩序,司法,国际
国法,0.33,规范,守法,政治
国安法,0.2557,合法性,立法,国际
规制,0.2962,规范,司法,经济
规章制度,0.2797,规范,守法,政治
规章,0.2993,规范,立法,环保
规则,0.3375,规范,执法,国际
规律性,0.2168,规范,立法,政治
规律,0.2725,规范,守法,政治
规范性,0.3347,合法性,立法,政治
规范市场,0.3353,规范,守法,国际
规范化,0.3169,规范,执法,政治
规范,0.3591,规范,执法,社会
贯彻执行,0.2712,合法性,守法,政治
管理制度,0.3034,规范,执法,环保
管理体制,0.2953,规范,执法,科技
管理体系,0.294,规范,执法,科技
管理机制,0.2573,规范,执法,社会
管理法,0.2534,规范,立法,社会
观念,0.3392,规范,守法,社会
共治,0.2901,规范,守法,社会
共享,0.2296,秩序,守法,科技
共同体,0.2271,秩序,司法,国际
共同富裕,0.1856,规范,守法,经济
公众,0.2558,规范,立法,社会
公职人员,0.2926,规范,守法,社会
公职,0.2144,合法性,守法,政治
公证,0.2421,规范,司法,国际
公正司法,0.5459,规范,司法,政治
公正,0.3364,秩序,司法,政治
公约,0.1533,秩序,执法,国际
公益,0.2013,规范,司法,环保
公序良,0.3495,规范,守法,社会
公信力,0.3414,合法性,司法,政治
公信,0.3037,规范,司法,社会
公务员,0.1465,规范,执法,政治
公司,0.1012,规范,执法,环保
公然,0.1946,合法性,司法,国际
公权力,0.3465,规范,司法,政治
公平正义,0.3956,秩序,司法,社会
公平竞争,0.3259,规范,守法,经济
公平,0.3125,秩序,守法,社会
公民权利,0.3554,合法性,司法,社会
公民道德,0.3434,规范,守法,社会
公民,0.3012,合法性,守法,社会
公开课,0.2188,规范,守法,国际
公开,0.2311,规范,执法,环保
公共秩序,0.301,秩序,守法,社会
公共卫生,0.1847,合法性,执法,社会
公共利益,0.3012,合法性,司法,社会
公共服务,0.2431,规范,执法,经济
公共安全,0.2684,秩序,执法,社会
公共,0.2073,规范,执法,社会
公安局,0.1731,规范,执法,环保
公安机关,0.2125,规范,执法,社会
公安部,0.1782,规范,执法,社会
公安,0.2197,规范,执法,社会
根治,0.1745,规范,执法,经济
根本法,0.3657,合法性,立法,政治
,0.1722,,,
,0.1786,,,
个人信息,0.2314,规范,司法,环保
革命化,0.1461,合法性,司法,政治
革命,0.1461,规范,执法,科技
,0.2283,,,
,0.3285,,,
改革,0.2852,规范,立法,科技
富裕,0.1146,秩序,守法,经济
富强,0.1965,秩序,守法,社会
富民,0.1573,规范,守法,科技
复兴,0.2739,合法性,守法,政治
腐败分子,0.1393,秩序,执法,政治
腐败,0.1843,规范,执法,政治
枫桥,0.2346,规范,司法,社会
非政府,0.2036,合法性,立法,社会
非公有制,0.1263,规范,守法,经济
非法,0.1809,合法性,执法,环保
防治法,0.2796,规范,立法,环保
防治,0.1552,规范,执法,环保
防范,0.3002,规范,执法,社会
方针政策,0.2461,合法性,立法,政治
方法论,0.3398,规范,立法,政治
犯罪分子,0.1992,合法性,执法,社会
犯罪,0.1997,秩序,执法,社会
反制,0.14,合法性,执法,国际
反腐倡廉,0.2923,规范,守法,政治
反腐败,0.2229,合法性,执法,政治
反腐,0.2503,合法性,执法,政治
繁荣,0.2296,秩序,守法,经济
法治政府,0.4625,规范,守法,经济
法治思维,0.6289,规范,守法,政治
法治社会,0.5357,合法性,守法,社会
法治理念,0.6127,合法性,守法,政治
法治建设,0.6683,规范,立法,社会
法治化,0.5628,规范,守法,社会
法治国家,0.4854,合法性,守法,社会
法制宣传,0.362,规范,守法,社会
法制化,0.4217,规范,立法,社会
法制,0.5075,合法性,立法,社会
,0.3239,,,
,0.4569,,,
法则,0.2534,秩序,守法,社会
法院,0.2546,合法性,司法,社会
法庭,0.2598,合法性,司法,国际
法人,0.1861,规范,司法,社会
法律制度,0.5072,规范,立法,社会
法律责任,0.2719,规范,执法,社会
法律援助,0.2299,合法性,司法,社会
法律意识,0.4097,规范,守法,社会
法律依据,0.3808,合法性,立法,社会
法律宣传,0.3923,合法性,守法,环保
法律条文,0.3498,合法性,立法,环保
法律手段,0.4054,规范,守法,社会
法律界,0.2994,合法性,司法,国际
法律监督,0.3496,规范,司法,政治
法律化,0.2881,合法性,立法,政治
法律法规,0.4103,规范,立法,环保
法律常识,0.332,合法性,守法,社会
法律,0.5486,合法性,立法,社会
法令,0.2343,规范,守法,政治
法规,0.3514,规范,立法,政治
法官,0.2532,合法性,司法,国际
法定程序,0.281,合法性,立法,政治
法典,0.3419,合法性,立法,环保
发扬民主,0.1927,合法性,立法,政治
对外开放,0.2225,秩序,立法,国际
督察,0.1974,合法性,执法,环保
督查,0.1945,规范,执法,环保
懂法,0.4088,规范,守法,社会
调解,0.1821,合法性,司法,社会
,0.2064,,,
低碳,0.1601,规范,守法,环保
德治国,0.4667,合法性,守法,社会
德治,0.4747,规范,守法,社会
德育,0.246,规范,守法,科技
德法,0.2868,合法性,守法,政治
德才兼备,0.2793,规范,守法,政治
道德修养,0.2429,规范,守法,政治
道德素质,0.3187,规范,守法,社会
道德教育,0.3403,合法性,守法,社会
道德规范,0.289,规范,守法,社会
道德,0.3439,规范,守法,社会
党中央,0.2502,规范,立法,政治
党执政,0.229,秩序,司法,政治
党政领导,0.2107,规范,执法,政治
党政机关,0.1827,规范,司法,政治
党政,0.2393,合法性,执法,政治
党章,0.2376,规范,守法,政治
党委政府,0.2167,合法性,守法,环保
党纪国法,0.2714,合法性,守法,政治
党和政府,0.2254,秩序,司法,社会
党和人民,0.2277,规范,守法,政治
党和国家,0.267,规范,立法,政治
党和法,0.3141,规范,守法,经济
党规,0.3028,规范,守法,政治
党的政策,0.215,规范,守法,科技
党的路线,0.2731,合法性,立法,政治
党的领导,0.3288,规范,守法,政治
党,0.3123,规范,守法,政治
大气污染,0.1256,规范,执法,环保
大局意识,0.2916,合法性,守法,政治
打击犯罪,0.2387,秩序,执法,政治
打击,0.2201,秩序,执法,社会
打官司,0.2297,合法性,司法,社会
错案,0.1798,合法性,司法,社会
村规民约,0.2522,规范,守法,环保
促进法,0.2428,规范,立法,经济
促发展,0.2643,规范,执法,经济
,0.2439,,,
从严治党,0.2989,规范,守法,政治
传统美德,0.2338,规范,守法,社会
传统,0.1798,规范,守法,科技
除恶,0.2666,秩序,司法,社会
崇法,0.3433,规范,守法,社会
崇德,0.2967,规范,守法,社会
程序正义,0.2867,合法性,司法,社会
程序化,0.2955,规范,立法,政治
惩治腐败,0.2356,秩序,执法,政治
惩治,0.3354,规范,司法,社会
惩恶扬善,0.3224,规范,守法,政治
惩处,0.2948,规范,执法,社会
产权制度,0.2779,规范,立法,经济
产权保护,0.3196,规范,司法,经济
产权,0.2348,规范,司法,经济
草案,0.2087,规范,立法,社会
财政,0.1364,规范,执法,经济
财产权,0.2564,合法性,司法,社会
不公,0.1915,秩序,司法,政治
,0.2844,,,
,0.1827,,,
暴力犯罪,0.1546,秩序,司法,社会
保障制度,0.2649,规范,司法,社会
保障体系,0.3686,规范,立法,科技
保障人权,0.3615,合法性,守法,社会
保障机制,0.2469,规范,执法,社会
保障法,0.2567,规范,立法,社会
保护意识,0.1957,合法性,守法,环保
保护伞,0.1959,秩序,司法,政治
保护法,0.2861,规范,立法,环保
,0.1787,,,
办案,0.2446,规范,司法,社会
,,,,
,,,,
安全意识,0.2362,规范,守法,环保
安全监管,0.2201,规范,执法,环保
安全观,0.2649,秩序,守法,政治
安全感,0.2832,秩序,司法,社会
安全法,0.3183,规范,立法,环保
安全,0.2701,秩序,司法,环保
安定,0.2401,秩序,守法,社会
爱国主义,0.2792,规范,守法,科技
